,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
2185,20200408,schema.org,https://schema.org/,text/html,text/html,en,"Home - schema.org schema.org Documentation Schemas About Welcome to Schema.org Schema.org is a collaborative, community activity with a mission to create, maintain, and promote schemas for structured data on the Internet, on web pages, in email messages, and beyond. Schema.org vocabulary can be used with many different encodings, including RDFa, Microdata and JSON-LD. These vocabularies cover entities, relationships between entities and actions, and can easily be extended through a well-documented extension model. Over 10 million sites use Schema.org to markup their web pages and email messages. Many applications from Google, Microsoft, Pinterest, Yandex and others already use these vocabularies to power rich, extensible experiences. Founded by Google, Microsoft, Yahoo and Yandex, Schema.org vocabularies are developed by an open community process, using the public-schemaorg@w3.org mailing list and through GitHub. A shared vocabulary makes it easier for webmasters and developers to decide on a schema and get the maximum benefit for their efforts. It is in this spirit that the founders, together with the larger community have come together - to provide a shared collection of schemas. We invite you to get started! View our blog at blog.schema.org or see release history for version 7.03. Terms and conditions SCHEMA_VERSION: 7.03 PYTHONAPP_VERSION: 2.0.1 ENABLE_HOSTED_EXTENSIONS: True host_ext: myhost: None myport: 80 mybasehost: schema.org debugging: False AppEngine Version: 7-03"
6028,20200417,schema.org,https://schema.org/,text/html,text/html,en,"Home - schema.org schema.org Documentation Schemas About Welcome to Schema.org Schema.org is a collaborative, community activity with a mission to create, maintain, and promote schemas for structured data on the Internet, on web pages, in email messages, and beyond. Schema.org vocabulary can be used with many different encodings, including RDFa, Microdata and JSON-LD. These vocabularies cover entities, relationships between entities and actions, and can easily be extended through a well-documented extension model. Over 10 million sites use Schema.org to markup their web pages and email messages. Many applications from Google, Microsoft, Pinterest, Yandex and others already use these vocabularies to power rich, extensible experiences. Founded by Google, Microsoft, Yahoo and Yandex, Schema.org vocabularies are developed by an open community process, using the public-schemaorg@w3.org mailing list and through GitHub. A shared vocabulary makes it easier for webmasters and developers to decide on a schema and get the maximum benefit for their efforts. It is in this spirit that the founders, together with the larger community have come together - to provide a shared collection of schemas. We invite you to get started! View our blog at blog.schema.org or see release history for version 7.04. Terms and conditions SCHEMA_VERSION: 7.04 PYTHONAPP_VERSION: 2.0.1 ENABLE_HOSTED_EXTENSIONS: True host_ext: core myhost: None myport: 80 mybasehost: 0.7-04.schemaorgae.appspot.com debugging: False AppEngine Version: 7-04"
8056,20200417,schema.org,https://schema.org/OverviewHealthAspect,text/html,text/html,en,"OverviewHealthAspect - schema.org Enumeration value schema.org Documentation Schemas Home OverviewHealthAspect This term is proposed for full integration into Schema.org, pending implementation feedback and adoption from applications and websites. Thing > Intangible > Enumeration > HealthAspectEnumeration :: OverviewHealthAspect Overview of the content. Contains a summarized view of the topic with the most relevant information for an introduction. [more...] Canonical URL: http://schema.org/OverviewHealthAspect Leave public feedback on this term 💬 Check for open issues. 'OverviewHealthAspect' is mentioned in the pending extention. Property Expected Type Description Properties from Enumeration supersededBy Class or Enumeration or Property Relates a term (i.e. a property, class or enumeration) to one that supersedes it. Properties from Thing additionalType URL An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally. alternateName Text An alias for the item. description Text A description of the item. disambiguatingDescription Text A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation. identifier PropertyValue or Text or URL The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details. image ImageObject or URL An image of the item. This can be a URL or a fully described ImageObject. mainEntityOfPage CreativeWork or URL Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity. name Text The name of the item. potentialAction Action Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role. sameAs URL URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website. subjectOf CreativeWork or Event A CreativeWork or Event about this Thing. Inverse property: about. url URL URL of the item. Available supertypes defined elsewhere HealthAspectEnumeration Source https://github.com/schemaorg/schemaorg/issues/2374"
8059,20200417,schema.org,https://schema.org/SymptomsHealthAspect,text/html,text/html,en,"SymptomsHealthAspect - schema.org Enumeration value schema.org Documentation Schemas Home SymptomsHealthAspect This term is proposed for full integration into Schema.org, pending implementation feedback and adoption from applications and websites. Thing > Intangible > Enumeration > HealthAspectEnumeration :: SymptomsHealthAspect Symptoms or related symptoms of a Topic. [more...] Canonical URL: http://schema.org/SymptomsHealthAspect Leave public feedback on this term 💬 Check for open issues. 'SymptomsHealthAspect' is mentioned in the pending extention. Property Expected Type Description Properties from Enumeration supersededBy Class or Enumeration or Property Relates a term (i.e. a property, class or enumeration) to one that supersedes it. Properties from Thing additionalType URL An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally. alternateName Text An alias for the item. description Text A description of the item. disambiguatingDescription Text A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation. identifier PropertyValue or Text or URL The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details. image ImageObject or URL An image of the item. This can be a URL or a fully described ImageObject. mainEntityOfPage CreativeWork or URL Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity. name Text The name of the item. potentialAction Action Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role. sameAs URL URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website. subjectOf CreativeWork or Event A CreativeWork or Event about this Thing. Inverse property: about. url URL URL of the item. Available supertypes defined elsewhere HealthAspectEnumeration Source https://github.com/schemaorg/schemaorg/issues/2374"
8061,20200417,schema.org,https://schema.org/PreventionHealthAspect,text/html,text/html,en,"PreventionHealthAspect - schema.org Enumeration value schema.org Documentation Schemas Home PreventionHealthAspect This term is proposed for full integration into Schema.org, pending implementation feedback and adoption from applications and websites. Thing > Intangible > Enumeration > HealthAspectEnumeration :: PreventionHealthAspect Information about actions or measures that can be taken to avoid getting the topic or reaching a critical situation related to the topic. [more...] Canonical URL: http://schema.org/PreventionHealthAspect Leave public feedback on this term 💬 Check for open issues. 'PreventionHealthAspect' is mentioned in the pending extention. Property Expected Type Description Properties from Enumeration supersededBy Class or Enumeration or Property Relates a term (i.e. a property, class or enumeration) to one that supersedes it. Properties from Thing additionalType URL An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally. alternateName Text An alias for the item. description Text A description of the item. disambiguatingDescription Text A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation. identifier PropertyValue or Text or URL The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details. image ImageObject or URL An image of the item. This can be a URL or a fully described ImageObject. mainEntityOfPage CreativeWork or URL Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity. name Text The name of the item. potentialAction Action Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role. sameAs URL URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website. subjectOf CreativeWork or Event A CreativeWork or Event about this Thing. Inverse property: about. url URL URL of the item. Available supertypes defined elsewhere HealthAspectEnumeration Source https://github.com/schemaorg/schemaorg/issues/2374"
8064,20200417,schema.org,https://schema.org/SelfCareHealthAspect,text/html,text/html,en,"SelfCareHealthAspect - schema.org Enumeration value schema.org Documentation Schemas Home SelfCareHealthAspect This term is proposed for full integration into Schema.org, pending implementation feedback and adoption from applications and websites. Thing > Intangible > Enumeration > HealthAspectEnumeration :: SelfCareHealthAspect Self care actions or measures that can be taken to sooth, health or avoid a topic. This may be carried at home and can be carried/managed by the person itself. [more...] Canonical URL: http://schema.org/SelfCareHealthAspect Leave public feedback on this term 💬 Check for open issues. 'SelfCareHealthAspect' is mentioned in the pending extention. Property Expected Type Description Properties from Enumeration supersededBy Class or Enumeration or Property Relates a term (i.e. a property, class or enumeration) to one that supersedes it. Properties from Thing additionalType URL An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally. alternateName Text An alias for the item. description Text A description of the item. disambiguatingDescription Text A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation. identifier PropertyValue or Text or URL The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details. image ImageObject or URL An image of the item. This can be a URL or a fully described ImageObject. mainEntityOfPage CreativeWork or URL Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity. name Text The name of the item. potentialAction Action Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role. sameAs URL URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website. subjectOf CreativeWork or Event A CreativeWork or Event about this Thing. Inverse property: about. url URL URL of the item. Available supertypes defined elsewhere HealthAspectEnumeration Source https://github.com/schemaorg/schemaorg/issues/2374"
8066,20200417,schema.org,https://schema.org/TreatmentsHealthAspect,text/html,text/html,en,"TreatmentsHealthAspect - schema.org Enumeration value schema.org Documentation Schemas Home TreatmentsHealthAspect This term is proposed for full integration into Schema.org, pending implementation feedback and adoption from applications and websites. Thing > Intangible > Enumeration > HealthAspectEnumeration :: TreatmentsHealthAspect Treatments or related therapies for a Topic. [more...] Canonical URL: http://schema.org/TreatmentsHealthAspect Leave public feedback on this term 💬 Check for open issues. 'TreatmentsHealthAspect' is mentioned in the pending extention. Property Expected Type Description Properties from Enumeration supersededBy Class or Enumeration or Property Relates a term (i.e. a property, class or enumeration) to one that supersedes it. Properties from Thing additionalType URL An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally. alternateName Text An alias for the item. description Text A description of the item. disambiguatingDescription Text A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation. identifier PropertyValue or Text or URL The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details. image ImageObject or URL An image of the item. This can be a URL or a fully described ImageObject. mainEntityOfPage CreativeWork or URL Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity. name Text The name of the item. potentialAction Action Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role. sameAs URL URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website. subjectOf CreativeWork or Event A CreativeWork or Event about this Thing. Inverse property: about. url URL URL of the item. Available supertypes defined elsewhere HealthAspectEnumeration Source https://github.com/schemaorg/schemaorg/issues/2374"
9253,20200417,schema.org,https://schema.org/EventScheduled,text/html,text/html,en,"EventScheduled - schema.org Enumeration value schema.org Documentation Schemas Home EventScheduled Thing > Intangible > Enumeration > EventStatusType :: EventScheduled The event is taking place or has taken place on the startDate as scheduled. Use of this value is optional, as it is assumed by default. [more...] Canonical URL: http://schema.org/EventScheduled Leave public feedback on this term 💬 Check for open issues. Property Expected Type Description Properties from Enumeration supersededBy Class or Enumeration or Property Relates a term (i.e. a property, class or enumeration) to one that supersedes it. Properties from Thing additionalType URL An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally. alternateName Text An alias for the item. description Text A description of the item. disambiguatingDescription Text A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation. identifier PropertyValue or Text or URL The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details. image ImageObject or URL An image of the item. This can be a URL or a fully described ImageObject. mainEntityOfPage CreativeWork or URL Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity. name Text The name of the item. potentialAction Action Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role. sameAs URL URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website. subjectOf CreativeWork or Event A CreativeWork or Event about this Thing. Inverse property: about. url URL URL of the item."
9257,20200417,schema.org,https://schema.org/OfflineEventAttendanceMode,text/html,text/html,en,"OfflineEventAttendanceMode - schema.org Enumeration value schema.org Documentation Schemas Home OfflineEventAttendanceMode This term is proposed for full integration into Schema.org, pending implementation feedback and adoption from applications and websites. Thing > Intangible > Enumeration > EventAttendanceModeEnumeration :: OfflineEventAttendanceMode OfflineEventAttendanceMode - an event that is primarily conducted offline. [more...] Canonical URL: http://schema.org/OfflineEventAttendanceMode Leave public feedback on this term 💬 Check for open issues. 'OfflineEventAttendanceMode' is mentioned in the pending extention. Property Expected Type Description Properties from Enumeration supersededBy Class or Enumeration or Property Relates a term (i.e. a property, class or enumeration) to one that supersedes it. Properties from Thing additionalType URL An additional type for the item, typically used for adding more specific types from external vocabularies in microdata syntax. This is a relationship between something and a class that the thing is in. In RDFa syntax, it is better to use the native RDFa syntax - the 'typeof' attribute - for multiple types. Schema.org tools may have only weaker understanding of extra types, in particular those defined externally. alternateName Text An alias for the item. description Text A description of the item. disambiguatingDescription Text A sub property of description. A short description of the item used to disambiguate from other, similar items. Information from other properties (in particular, name) may be necessary for the description to be useful for disambiguation. identifier PropertyValue or Text or URL The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details. image ImageObject or URL An image of the item. This can be a URL or a fully described ImageObject. mainEntityOfPage CreativeWork or URL Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See background notes for details. Inverse property: mainEntity. name Text The name of the item. potentialAction Action Indicates a potential Action, which describes an idealized action in which this thing would play an 'object' role. sameAs URL URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website. subjectOf CreativeWork or Event A CreativeWork or Event about this Thing. Inverse property: about. url URL URL of the item. Available supertypes defined elsewhere EventAttendanceModeEnumeration Source https://github.com/schemaorg/schemaorg/issues/1842"
13197,20200424,schema.org,https://schema.org/,text/html,,,
