,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
9035,20200417,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
14590,20200424,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
19513,20200504,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
22926,20200515,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
65100,20200522,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
65343,20200529,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
73476,20200529,search.ourontario.ca,http://search.ourontario.ca/,text/html,,,
82894,20200605,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
93216,20200612,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
104442,20200619,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
125204,20200703,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
135608,20200710,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
146059,20200717,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
156342,20200724,search.ourontario.ca,http://search.ourontario.ca/,text/html,text/html,en,"Search: Search Accessibility: Skip to content browse audio browse collections browse images browse objects browse text browse video Home | About FAQ Help | En Français | Search Advanced Search browse by contributor Find over 2.3 million items and collections from libraries, archives, museums, historical societies, community groups, and government ministries. Discover – people, places, events and objects about Ontario. View and access – photographs, maps, videos, oral histories, government documents, newspapers and more... ... other features Explore and view the data with other tools Search Widget: Easily grab an OurOntario search widget for your webpage or blog. OurOntario.ca is a discovery service of OurDigitalWorld. © 2020 Powered by / Alimenté par OurDigitalWorld"
