,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8474,20200417,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
14013,20200424,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
18968,20200504,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
22397,20200515,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
63890,20200529,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
63894,20200522,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
63902,20200529,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
72921,20200529,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
72925,20200529,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
82185,20200605,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
82191,20200605,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
92458,20200612,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
92462,20200612,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
103676,20200619,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
103680,20200619,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
113902,20200626,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
113905,20200626,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
124365,20200703,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
124370,20200703,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
134612,20200710,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
134617,20200710,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
145150,20200717,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
145155,20200717,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
155621,20200724,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
155626,20200724,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
166568,20200731,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
166572,20200731,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
177498,20200807,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
177504,20200807,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
188384,20200814,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
188391,20200814,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
201190,20200821,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
201194,20200821,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
213113,20200828,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
213119,20200828,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
225394,20200904,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
225399,20200904,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
238504,20200911,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
238508,20200911,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
249385,20200918,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
249390,20200918,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
261812,20200925,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
261816,20200925,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
273321,20201002,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
273326,20201002,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
285756,20201009,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
285761,20201009,secure.kipsu.com,https://secure.kipsu.com/acct/widget/167/9cd9,text/html,text/html,en,The Pen Centre - Online Chat
297531,20201016,secure.kipsu.com,https://secure.kipsu.com/acct/widget/1422/59a8,text/html,text/html,en,Outlet Collection at Niagara - Online Chat
