,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8466,20200417,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=1135620377&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.1135620377.1587126406.1587126406.1587126406.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1587126406.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
14001,20200424,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=1762230017&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.1762230017.1587757341.1587757341.1587757341.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1587757341.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
22386,20200515,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=1708135848&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.1708135848.1589567732.1589567732.1589567732.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1589567732.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
63867,20200522,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=562401684&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.562401684.1590176206.1590176206.1590176206.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1590176206.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
63874,20200527,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=1978658769&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.1978658769.1590545138.1590545138.1590545138.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1590545138.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
63879,20200529,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=1850068334&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.1850068334.1590778985.1590778985.1590778985.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1590778985.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
72913,20200529,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=1645057723&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.1645057723.1590783056.1590783056.1590783056.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1590783056.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
82180,20200605,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=93279308&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.93279308.1591385338.1591385338.1591385338.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1591385338.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
92451,20200612,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=424834442&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.424834442.1591991425.1591991425.1591991425.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1591991425.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
103668,20200619,secure.symetricproductions.com,https://secure.symetricproductions.com/analytics/siteEngineSettings.php?utmwv=1&utmn=1404412215&utmsr=1600x1000&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmcn=1&utmdt=Covid-19%20-%20Niagara%20Worship%20Centre&utmhn=www.niagaraworship.ca&utmr=-&utmp=/covid-19/&utmac=SP&utmcc=__utma%3D124194325.1404412215.1592599383.1592599383.1592599383.1%3B+__utmb%3D124194325%3B+__utmc%3D124194325%3B+__utmz%3D124194325.1592599383.1.1.utmccn%3D%28direct%29%7Cutmcsr%3D%28direct%29%7Cutmcmd%3D%28none%29%3B,text/html,,,
