,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
432214,20210115,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
441387,20210122,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
450625,20210129,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
460726,20210205,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
470910,20210212,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
481099,20210219,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
491513,20210226,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
501539,20210305,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
512099,20210312,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
522181,20210319,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
532338,20210326,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
541562,20210402,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
552282,20210409,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
562799,20210416,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
572897,20210423,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
583273,20210430,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
593688,20210507,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
604170,20210514,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
614595,20210521,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
625047,20210528,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
635644,20210604,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
646207,20210611,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
657009,20210618,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
662888,20210625,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
668647,20210702,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
674610,20210709,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
680608,20210716,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
686516,20210723,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
704025,20210813,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
710554,20210820,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
717329,20210827,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
723653,20210903,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
729321,20210910,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
735035,20210917,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
740812,20210924,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
746673,20211001,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
752668,20211008,snapchat.com,https://www.snapchat.com/add/$%7Bid%7D,text/html,text/html,en,Snapchat You need to enable JavaScript to run this app.
