,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6038,20200417,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1586364314459,text/html,text/html,,
6216,20200417,static.olark.com,https://static.olark.com/,text/html,text/plain,,
6218,20200417,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
6267,20200417,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1586364314459,text/html,,,
13171,20200424,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1586364314459,text/html,,,
13177,20200424,static.olark.com,https://static.olark.com/,text/html,,,
13193,20200424,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,,,
13196,20200424,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1586364314459,text/html,,,
17654,20200504,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1588096967079,text/html,text/html,,
17656,20200504,static.olark.com,https://static.olark.com/,text/html,,,
17678,20200504,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
17695,20200504,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1588096967079,text/html,,,
21593,20200515,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1589409649284,text/html,text/html,,
21594,20200515,static.olark.com,https://static.olark.com/,text/html,,,
21621,20200515,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
21627,20200515,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1589409649284,text/html,,,
59232,20200522,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1590085956141,text/html,text/html,,
59235,20200522,static.olark.com,https://static.olark.com/,text/html,,,
59237,20200522,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
59239,20200522,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1590085956141,text/html,,,
59848,20200527,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1590526178560,text/html,text/html,,
59849,20200527,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1590526178560,text/html,,,
59864,20200529,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1590526178560,text/html,,,
59868,20200529,static.olark.com,https://static.olark.com/,text/html,,,
59872,20200529,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
59874,20200529,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1590526178560,text/html,,,
70720,20200529,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1590526178560,text/html,,,
70733,20200529,static.olark.com,https://static.olark.com/,text/html,,,
70735,20200529,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,,,
70737,20200529,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1590526178560,text/html,,,
79334,20200605,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1590526178560,text/html,,,
79335,20200605,static.olark.com,https://static.olark.com/,text/html,,,
79339,20200605,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,,,
79368,20200605,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1590526178560,text/html,,,
90163,20200612,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1590526178560,text/html,,,
90165,20200612,static.olark.com,https://static.olark.com/,text/html,,,
90168,20200612,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,,,
90192,20200612,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1590526178560,text/html,,,
221434,20200904,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1599068225272,text/html,text/html,,
221435,20200904,static.olark.com,https://static.olark.com/,text/html,,,
221448,20200904,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
221465,20200904,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1599068225272,text/html,,,
233988,20200911,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1599683998479,text/html,text/html,,
233990,20200911,static.olark.com,https://static.olark.com/,text/html,,,
234001,20200911,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
234024,20200911,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1599683998479,text/html,,,
246586,20200918,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1600285780122,text/html,text/html,,
246588,20200918,static.olark.com,https://static.olark.com/,text/html,,,
246604,20200918,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
246632,20200918,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1600285780122,text/html,,,
257528,20200925,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1600285780122,text/html,,,
257530,20200925,static.olark.com,https://static.olark.com/,text/html,,,
257538,20200925,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,,,
257550,20200925,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1600285780122,text/html,,,
270195,20201002,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1601583278243,text/html,text/html,,
270196,20201002,static.olark.com,https://static.olark.com/,text/html,,,
270197,20201002,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
270211,20201002,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1601583278243,text/html,,,
281936,20201009,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1602005621205,text/html,text/html,,
281942,20201009,static.olark.com,https://static.olark.com/,text/html,,,
281946,20201009,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
281950,20201009,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1602005621205,text/html,,,
294160,20201016,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1602600202885,text/html,text/html,,
294161,20201016,static.olark.com,https://static.olark.com/,text/html,,,
294167,20201016,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
294193,20201016,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1602600202885,text/html,,,
306119,20201023,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1603215209439,text/html,text/html,,
306127,20201023,static.olark.com,https://static.olark.com/,text/html,,,
306132,20201023,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
306134,20201023,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1603215209439,text/html,,,
318187,20201030,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1603907476873,text/html,text/html,,
318189,20201030,static.olark.com,https://static.olark.com/,text/html,,,
318198,20201030,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
318207,20201030,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1603907476873,text/html,,,
329900,20201106,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1604612845687,text/html,text/html,,
329902,20201106,static.olark.com,https://static.olark.com/,text/html,,,
329912,20201106,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
330099,20201106,static.olark.com,https://static.olark.com/jsclient/storage.html?v=1604612845687,text/html,,,
340944,20201113,static.olark.com,https://static.olark.com/jsclient-bucket6/storage.html?v=1605294494489,text/html,text/html,,
340946,20201113,static.olark.com,https://static.olark.com/,text/html,,,
340950,20201113,static.olark.com,https://static.olark.com/jsclient-latest/follow.html?v=1426711435610,text/html,text/html,en,Olark Live Chat is wrapping this website so you can keep talking. Don't see anything? Click here to visit this website without Olark following you.
