,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
24463,20200706,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
26100,20200804,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
27809,20200904,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
29413,20201005,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
30657,20201103,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
31976,20210205,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
35854,20200626,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
111721,20200626,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
122176,20200703,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
132356,20200710,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
142815,20200717,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
153262,20200724,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
164190,20200731,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
175198,20200807,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
186160,20200814,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
198973,20200821,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
210833,20200828,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
215687,20200904,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
228078,20200911,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
248727,20200918,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
260205,20200925,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
271151,20201002,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
283423,20201009,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
295303,20201016,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
319088,20201030,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
341937,20201113,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
352689,20201120,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
364262,20201127,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
375579,20201204,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
386426,20201211,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
395434,20201218,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
404638,20201225,subscribe.thestar.com,https://subscribe.thestar.com/torstar/apps/payment/,text/html,text/html,en,﻿ Torstar Subscription Processing... Please do not refresh your screen.
