,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
29746,20201005,surveymonkey.com,https://www.surveymonkey.com/r/ONSpecEdCOVID19,text/html,text/html,en,"ON Special Education Survey- COVID19 Edition ON Special Education Survey- COVID19 Edition We are here for YOU! (Complete one per child please) There were surveys for students, as well as educators. Some even asked how parents/caregivers felt about Online learning last year. The children/ families with IEP's however, were left buried in inconclusive, unspecific data, and as usual, left with questions unanswered. This data is for YOU! Please take 5-8 minutes to fill out this survey. Our data will be directly discussed and submitted, with the Ministry of Education, along with a report that will be shared with you as well. OK Question Title * 1. What age is your child? 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 OK Question Title * 2. What grade is your child in? jk/sk 1-4 5-7 8-9 10-12 OK Question Title * 3. What is your school board? Algoma District School Board Algonquin and Lakeshore Catholic District School Board Avon Maitland District School Board Bloorview School Authority Bluewater District School Board Brant Haldimand Norfolk Catholic District School Board Bruce-Grey Catholic District School Board CHEO School Authority Campbell Children's School Authority Catholic District School Board of Eastern Ontario Conseil des écoles publiques de l'Est de l'Ontario Conseil scolaire Viamonde Conseil scolaire catholique MonAvenir Conseil scolaire catholique Providence Conseil scolaire de district catholique Franco-Nord Conseil scolaire de district catholique de l'Est ontarien Conseil scolaire de district catholique des Aurores boréales Conseil scolaire de district catholique des Grandes Rivières Conseil scolaire de district catholique du Centre-Est de l'Ontario Conseil scolaire de district catholique du Nouvel-Ontario Conseil scolaire de district du Nord-Est de l'Ontario Conseil scolaire public du Grand Nord de l'Ontario District School Board Ontario North East District School Board of Niagara Dufferin-Peel Catholic District School Board Durham Catholic District School Board Durham District School Board Grand Erie District School Board Greater Essex County District School Board Halton Catholic District School Board Halton District School Board Hamilton-Wentworth Catholic District School Board Hamilton-Wentworth District School Board Hastings & Prince Edward District School Board Huron Perth Catholic District School Board Huron-Superior Catholic District School Board James Bay Lowlands Secondary School Board John McGivney Children's Centre School Authority Kawartha Pine Ridge District School Board Keewatin-Patricia District School Board Kenora Catholic District School Board KidsAbility Education Authority Lakehead District School Board Lambton Kent District School Board Limestone District School Board London District Catholic School Board Moose Factory Island District School Area Board Moosonee District School Area Board Near North District School Board Niagara Catholic District School Board Niagara Peninsula Children's Centre School Authority Nipissing-Parry Sound Catholic District School Board Northeastern Catholic District School Board Northwest Catholic District School Board Ottawa Catholic District School Board Ottawa-Carleton District School Board Peel District School Board Penetanguishene Protestant Separate School Board Peterborough Victoria Northumberland and Clarington Catholic District School Board Provincial and Demonstration Schools Rainbow District School Board Rainy River District School Board Renfrew County Catholic District School Board Renfrew County District School Board Simcoe County District School Board Simcoe Muskoka Catholic District School Board St Clair Catholic District School Board Sudbury Catholic District School Board Superior North Catholic District School Board Superior-Greenstone District School Board Thames Valley District School Board Thunder Bay Catholic District School Board Toronto Catholic District School Board Toronto District School Board Trillium Lakelands District School Board Upper Canada District School Board Upper Grand District School Board Waterloo Catholic District School Board Waterloo Region District School Board Wellington Catholic District School Board Windsor-Essex Catholic District School Board York Catholic District School Board York Region District School Board OK Question Title * 4. Which Education option have you opted for this year? In-class learning Online learning Homeschooling OK Question Title * 5. How many pupils are in your child's class? 20-23 24-26 27-30 30+ Unsure N/A OK Question Title * 6. What was your reason for this choice? select all that apply. Work Exhaustion as a caretaker Child choice Stay at home parent Safety / health concerns School Suggestion / Advice No choice (personal) No choice (School left no choice) Please Elaborate OK Question Title * 7. Are you confident with your decision? Yes No Unsure OK Question Title * 8. I am filling this survey as ______ Parent/Guardian Self/teen Educator Other OK Question Title * 9. I am a ... (select all that apply) Working parent/caretaker Stay at home parent/caretaker Single parent/caretaker Other (please specify) OK Question Title * 10. Will your child be attending childcare/daycare before and/or after school? Yes No Unsure OK Question Title * 11. Will your child be taking the bus this year? Yes No Unsure OK Question Title * 12. Have you heard or read of any health/safety protocols with bussing yet? Yes No N/A OK Question Title * 13. Have you been contacted about your child's teacher/ classroom set up yet? Yes No OK Question Title * 14. Does your child have an IEP? Yes No OK Question Title * 15. Have you been contacted by the school/principal regarding your child's IEP? Yes No OK Question Title * 16. Is online learning Inclusive to your child's IEP? Yes No Unsure Other / Comments OK Question Title * 17. Are you aware of your/ your child's legal rights with an IEP? Yes No OK Question Title * 18. Has your child lost important aspects of his/her IEP due to new COVID rules? (IE: no more break rooms/quiet rooms due to ""symptom rooms"") Yes No Unsure Other/ Please Elaborate OK Question Title * 19. If your child is in specialized programs at their school, are those programs still available for your child this year? Yes No Unsure OK Question Title * 20. Does your child have an updated safety plan? Yes No What is a safety plan? OK Question Title * 21. Does your child usually work with Occupational Therapist (OT) / Speech Language Pathologist (SLP) through the school? Yes No Unsure OK Question Title * 22. Was your child in school full-time before the COVID19 quarantine? Yes No OK Question Title * 23. Do you have internet access at home? Yes No Yes, but horrible bandwidth Hotspot only OK Question Title * 24. Are you confident with the technology involved with ""online learning""? Yes No Unsure Other / Comment OK Question Title * 25. Have you been offered a Chromebook or laptop if you chose online learning? Yes No Unsure OK Question Title * 26. Have you been included in school communication/information this year? Yes, and it has been helpful Not at all I have to chase for answers Yes, but I feel like my child's school is bullying/coercing me into more stressful choices Other (please specify) OK Question Title * 27. Did your child attend ""online learning"" last year? Yes No Partly OK Question Title * 28. How did you find managing the online learning last year in terms of difficulty? Very easy Easy Neither easy nor difficult Difficult Very difficult OK Question Title * 29. How do you feel about all of the email communication with the school? No problem It is overwhelming I forget to reply I just ignore Other (please specify) OK Question Title * 30. Will your child be receiving ONE to ONE help from an EA this year? Yes No Unsure OK Question Title * 31. Will your child be receiving SHARED EA supports this year? Yes No Unsure OK Question Title * 32. Does your child typically damage technology when frustrated/ during meltdown? Yes No Unsure OK Question Title * 33. Most frustrating part of online learning for parent/caregiver? Siblings/ multiple routines Meltdowns over tech/ internet Routine disruption Having to work from home/stay home Other (please specify) OK Question Title * 34. Is your child comfortable wearing a mask? Yes Not at all Yes, but for under 30 minutes Yes, but for under 60 minutes Yes, but for under 2 hours Yes, but constantly touches face Yes, for a few hours, but not a full school day OK Question Title * 35. Are you aware that your child's diagnosis provides their school board with funding? Yes No OK Question Title * 36. Would you feel more comfortable/confident keeping your child home if the special education funding your child brings into the school board, was allocated to your family instead? Yes No OK Question Title * 37. What would you use the individualized special education funding for? Homeschooling Private school Tutors Other (please specify) OK Question Title * 38. Would you be interested in a virtual workshop on being in control and confident with your child's legal IEP through this pandemic/""new normal""? Yes No Unsure OK Question Title * 39. Would you support a ministry of disabilities? Yes No OK Question Title * 40. Any other added comments? OK DONE Powered by See how easy it is to create a survey. Privacy & Cookie Policy 0 of 40 answered T Javascript is required for this site to function, please enable."
61543,20200529,surveymonkey.com,https://www.surveymonkey.com/r/JDBV8T5,text/html,text/html,en,"Paid sick days survey <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Paid sick days survey Welcome The Government of Canada has announced that it will work with the provinces to try and guarantee ten paid sick days to all workers across the country. The GNCC wants to know how this would affect your business. The answers we gather will inform our position with the governments of Canada and Ontario, and will be passed on to the Ontario and Canadian Chambers of Commerce as well. This survey has one question. Question Title * 1. How would the 10-day paid sick leave policy impact your business? Not at all Some impact (unlikely to affect operations or staffing) Significant impact (likely to affect operations or staffing) 100% of survey complete. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
71142,20200529,surveymonkey.com,https://www.surveymonkey.com/r/JDBV8T5,text/html,text/html,en,"Paid sick days survey <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Paid sick days survey Welcome The Government of Canada has announced that it will work with the provinces to try and guarantee ten paid sick days to all workers across the country. The GNCC wants to know how this would affect your business. The answers we gather will inform our position with the governments of Canada and Ontario, and will be passed on to the Ontario and Canadian Chambers of Commerce as well. This survey has one question. Question Title * 1. How would the 10-day paid sick leave policy impact your business? Not at all Some impact (unlikely to affect operations or staffing) Significant impact (likely to affect operations or staffing) 100% of survey complete. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
80162,20200605,surveymonkey.com,https://www.surveymonkey.com/r/JDBV8T5,text/html,text/html,en,"Paid sick days survey <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Paid sick days survey Welcome The Government of Canada has announced that it will work with the provinces to try and guarantee ten paid sick days to all workers across the country. The GNCC wants to know how this would affect your business. The answers we gather will inform our position with the governments of Canada and Ontario, and will be passed on to the Ontario and Canadian Chambers of Commerce as well. This survey has one question. Question Title * 1. How would the 10-day paid sick leave policy impact your business? Not at all Some impact (unlikely to affect operations or staffing) Significant impact (likely to affect operations or staffing) 100% of survey complete. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
167388,20200731,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
178313,20200807,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
189247,20200814,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
202062,20200821,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
213974,20200828,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
226244,20200904,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
239029,20200911,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-NGMP3BG"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
249924,20200918,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
262350,20200925,surveymonkey.com,https://www.surveymonkey.com/r/V3WCR25,text/html,text/html,en,"Service and Access Feedback Survey 2019 Service and Access Feedback Survey 2019 If you have visited the CLEO website before, please let us know what your experience has been by answering these six questions. If you are new to the CLEO site, welcome! We'd love to hear your feedback. Question Title * 1. Please tell us who you are. Are you: Looking for information for myself, a friend or family member Helping someone find information as part of my job Other (please specify) Question Title * 2. What was the primary purpose of your visit to the CLEO website today? Find legal information to read online Order a CLEO publication Print off a CLEO publication Find out about CLEO's research projects Look around to see what's on the site Other (please specify) Question Title * 3. If you were looking for information, how useful was it? Very useful Useful Somewhat useful Not useful N/A Question Title * 4. If you ordered a CLEO publication, how easy did you find the online order form to use? Very easy Easy Somewhat difficult Difficult N/A Question Title * 5. Overall, how would you rate your experience on the CLEO website? (1 being very poor and 10 being very good) 1 2 3 4 5 6 7 8 9 10 1 2 3 4 5 6 7 8 9 10 Question Title * 6. Please give us any feedback you have on the CLEO website. Done Powered by See how easy it is to create a survey. Privacy & Cookie Policy T Javascript is required for this site to function, please enable."
