,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6614,20200417,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
13408,20200424,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
18015,20200504,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
21889,20200515,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
60235,20200522,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
61422,20200529,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
70990,20200529,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
80156,20200605,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
90419,20200612,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
101671,20200619,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
111457,20200626,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
121936,20200703,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
132198,20200710,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
142621,20200717,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
153093,20200724,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
163979,20200731,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
175022,20200807,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
185963,20200814,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
198867,20200821,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
210564,20200828,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
222958,20200904,vmcdn.ca,https://www.vmcdn.ca/,text/html,,,
236975,20200911,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
248505,20200918,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
259992,20200925,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
270923,20201002,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
283313,20201009,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
295071,20201016,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
308363,20201023,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
318889,20201030,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
331775,20201106,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
341685,20201113,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
352420,20201120,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
364003,20201127,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
375358,20201204,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
386142,20201211,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
395134,20201218,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
404434,20201225,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
413525,20210101,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
422760,20210108,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
432218,20210115,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
441449,20210122,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
450629,20210129,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
460732,20210205,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
470901,20210212,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
481126,20210219,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
491502,20210226,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
501545,20210305,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
512081,20210312,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
522206,20210319,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
532449,20210326,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
541602,20210402,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
572934,20210423,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
583285,20210430,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
593700,20210507,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
604209,20210514,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
614636,20210521,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
625105,20210528,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
635666,20210604,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
646258,20210611,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
657093,20210618,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
662900,20210625,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
668688,20210702,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
674631,20210709,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
680640,20210716,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
686523,20210723,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
692534,20210730,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
698223,20210806,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
704056,20210813,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
710587,20210820,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
717337,20210827,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
723690,20210903,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
729359,20210910,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
735072,20210917,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
740834,20210924,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
746679,20211001,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
752700,20211008,vmcdn.ca,https://www.vmcdn.ca/,text/html,text/html,en,"﻿ Village Media Nothing to see here, just our media CDN!"
