,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
2171,20200408,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,text/html,,
2184,20200408,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,text/plain,en,Input string was not in a correct format.
4782,20200417,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
4784,20200417,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
11696,20200424,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
11699,20200424,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
15864,20200504,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
15866,20200504,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
20696,20200515,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
20698,20200515,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
55231,20200522,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
55234,20200522,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
55416,20200529,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,text/html,,
55417,20200529,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
69366,20200529,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
69367,20200529,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
77349,20200605,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
77351,20200605,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
87396,20200612,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
87399,20200612,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
97755,20200619,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
97756,20200619,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
108979,20200626,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
108980,20200626,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
119520,20200703,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
119521,20200703,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
129924,20200710,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
129925,20200710,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
140353,20200717,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
140354,20200717,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
150834,20200724,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
150835,20200724,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
161737,20200731,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
161739,20200731,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
172808,20200807,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,text/html,,
172809,20200807,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
183660,20200814,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
183661,20200814,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
196625,20200821,vue.comm100.com,https://vue.comm100.com/chatWindow.aspx?siteId=232657&planId=531,text/html,,,
196627,20200821,vue.comm100.com,https://vue.comm100.com/livechat.ashx?siteId=,text/html,,,
602629,20210514,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,text/html,en,Comm100 Live Chat
613067,20210521,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,,,
623606,20210528,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,,,
634001,20210604,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,,,
644618,20210611,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,,,
655392,20210618,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,,,
661252,20210625,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,,,
667041,20210702,vue.comm100.com,https://vue.comm100.com/visitorside/html/chatwindow.9f2f1223ce42950c79a28485e7ef6b196afa9e51.html?siteId=232657&planId=531,text/html,,,
