,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
157481,20200724,wainfleetbic.com,https://wainfleetbic.com/contact/,text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give CONTACT US Have questions or want to talk with someone? We would love to hear from you! Worship Gatherings 53007 Perry Road, Wainfleet, ON L0S 1V0 Sundays at 10:45AM Phone Number (905) 899-1343 Email Address [email protected] Facebook Instagram YouTube Name Email Message UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
157483,20200724,wainfleetbic.com,https://wainfleetbic.com/,text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give FIND WHAT YOU'VE BEEN SEARCHING FOR PLAN YOUR FIRST VISIT WATCH live / LISTEN UPCOMING EVENTS July 26, 2020 Thrive Prayer Gathering ONLINE July 26, 2020 9:30 am - 9:45 am This is a time of focused prayer for our service, our community and that lives may be changed and hearts touched through our message. Email [email protected] for ZOOM link See more details ONLINE ONLY - NO PUBLIC GATHERING Sunday Worship Service July 26, 2020 10:00 am - 10:45 am Sanctuary The Ontario government has asked groups over 5 not to meet due to concerns with the spread of COVID-19. Our service will be LIVE STREAMED only today. Please click this link to watch: https://www.youtube.com/channel/UCdMzIeGkBe0W_AbP_6GVMIw See more details July 28, 2020 NO PUBLIC GATHERING Connections - Women's Bible Study ONLINE July 28, 2020 10:00 am - 11:30 am Room 108 Connections, our Women's Bible Study is taking on a new look this spring! As we're sure you're aware, small groups are no longer able to meet in person, but that won't stop us from learning and growing together. We'll be studying the book 'Get Out Of Your Head' by Jennie Allen together, online. This will be a great study about recognizing the thought patterns that get us stuck and how to break out of them using God's truth. Books will be available for purchase for $30 at the church office, alternatively you can purchase an e-book for yourself. There is a closed Facebook group for online discussion, please contact Kristine Crumb ([email protected]) to be added and receive updates, or for more information. See more details SEE CALENDAR PLAN A VISIT TIME & LOCATION WHAT TO EXPECT FOR YOUR KIDS RECENT SERMONS Listen on SoundCloud ABOUT US WHO WE ARE Church Life Meet Our Staff UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
157486,20200724,wainfleetbic.com,https://wainfleetbic.com/?s={search_term_string},text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give Sorry, no posts matched your criteria. UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
168498,20200731,wainfleetbic.com,https://wainfleetbic.com/contact/,text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give CONTACT US Have questions or want to talk with someone? We would love to hear from you! Worship Gatherings 53007 Perry Road, Wainfleet, ON L0S 1V0 Sundays at 10:45AM Phone Number (905) 899-1343 Email Address [email protected] Facebook Instagram YouTube Name Email Message UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
168502,20200731,wainfleetbic.com,https://wainfleetbic.com/,text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give FIND WHAT YOU'VE BEEN SEARCHING FOR PLAN YOUR FIRST VISIT WATCH live / LISTEN UPCOMING EVENTS August 2, 2020 Thrive Prayer Gathering ONLINE August 2, 2020 9:30 am - 9:45 am This is a time of focused prayer for our service, our community and that lives may be changed and hearts touched through our message. Email [email protected] for ZOOM link See more details ONLINE ONLY - NO PUBLIC GATHERING Sunday Worship Service August 2, 2020 10:00 am - 10:45 am Sanctuary The Ontario government has asked groups over 5 not to meet due to concerns with the spread of COVID-19. Our service will be LIVE STREAMED only today. Please click this link to watch: https://www.youtube.com/channel/UCdMzIeGkBe0W_AbP_6GVMIw See more details August 4, 2020 NO PUBLIC GATHERING Connections - Women's Bible Study ONLINE August 4, 2020 10:00 am - 11:30 am Room 108 Connections, our Women's Bible Study is taking on a new look this spring! As we're sure you're aware, small groups are no longer able to meet in person, but that won't stop us from learning and growing together. We'll be studying the book 'Get Out Of Your Head' by Jennie Allen together, online. This will be a great study about recognizing the thought patterns that get us stuck and how to break out of them using God's truth. Books will be available for purchase for $30 at the church office, alternatively you can purchase an e-book for yourself. There is a closed Facebook group for online discussion, please contact Kristine Crumb ([email protected]) to be added and receive updates, or for more information. See more details GRIEFSHARE August 4, 2020 7:00 pm - 8:00 pm GRIEFSHARE is providing a special Summer Series related to various topics. We invite you to join us in the upcoming ZOOM meetings being held every other Tuesday at 7:00 pm where we will meet, watch and discuss the following videos. July 21 Anxiety and Grief Aug 4 COVID 19 and Grief Aug 18 Loneliness in Grief Sept 1 Searching for a New Normal after Loss If you are interested and would like more information about how to participate please check https://www.griefshare.org/ and click My GriefShare tab. Please contact [email protected] for the ZOOM link and more information. See more details SEE CALENDAR PLAN A VISIT TIME & LOCATION WHAT TO EXPECT FOR YOUR KIDS RECENT SERMONS Listen on SoundCloud ABOUT US WHO WE ARE Church Life Meet Our Staff UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
168506,20200731,wainfleetbic.com,https://wainfleetbic.com/?s={search_term_string},text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give Sorry, no posts matched your criteria. UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
179446,20200807,wainfleetbic.com,https://wainfleetbic.com/contact/,text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give CONTACT US Have questions or want to talk with someone? We would love to hear from you! Worship Gatherings 53007 Perry Road, Wainfleet, ON L0S 1V0 Sundays at 10:45AM Phone Number (905) 899-1343 Email Address [email protected] Facebook Instagram YouTube Name Email Message UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
179451,20200807,wainfleetbic.com,https://wainfleetbic.com/,text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give FIND WHAT YOU'VE BEEN SEARCHING FOR PLAN YOUR FIRST VISIT WATCH live / LISTEN UPCOMING EVENTS August 9, 2020 Thrive Prayer Gathering ONLINE August 9, 2020 9:30 am - 9:45 am This is a time of focused prayer for our service, our community and that lives may be changed and hearts touched through our message. Email [email protected] for ZOOM link See more details ONLINE ONLY - NO PUBLIC GATHERING Sunday Worship Service August 9, 2020 10:00 am - 10:45 am Sanctuary The Ontario government has asked groups over 5 not to meet due to concerns with the spread of COVID-19. Our service will be LIVE STREAMED only today. Please click this link to watch: https://www.youtube.com/channel/UCdMzIeGkBe0W_AbP_6GVMIw See more details August 11, 2020 NO PUBLIC GATHERING Connections - Women's Bible Study ONLINE August 11, 2020 10:00 am - 11:30 am Room 108 Connections, our Women's Bible Study is taking on a new look this spring! As we're sure you're aware, small groups are no longer able to meet in person, but that won't stop us from learning and growing together. We'll be studying the book 'Get Out Of Your Head' by Jennie Allen together, online. This will be a great study about recognizing the thought patterns that get us stuck and how to break out of them using God's truth. Books will be available for purchase for $30 at the church office, alternatively you can purchase an e-book for yourself. There is a closed Facebook group for online discussion, please contact Kristine Crumb ([email protected]) to be added and receive updates, or for more information. See more details SEE CALENDAR PLAN A VISIT TIME & LOCATION WHAT TO EXPECT FOR YOUR KIDS RECENT SERMONS Listen on SoundCloud ABOUT US WHO WE ARE Church Life Meet Our Staff UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
179452,20200807,wainfleetbic.com,https://wainfleetbic.com/?s={search_term_string},text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give Sorry, no posts matched your criteria. UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
190479,20200814,wainfleetbic.com,https://wainfleetbic.com/contact/,text/html,text/html,en,"Wainfleet Brethren In Christ Church ABOUT CONNECT OUTREACH Watch/Listen Contact Give CONTACT US Have questions or want to talk with someone? We would love to hear from you! Worship Gatherings 53007 Perry Road, Wainfleet, ON L0S 1V0 Sundays at 10:45AM Phone Number (905) 899-1343 Email Address [email protected] Facebook Instagram YouTube Name Email Message UNTIL EVERY HOME IS LED BY JESUS Facebook Instagram YouTube ABOUT CONNECT OUTREACH Watch/Listen Contact Give © 2020 Wainfleet Be In Christ. All Rights Reserved."
