,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
9054,20200417,wallet.apple.com,https://wallet.apple.com/,text/html,,,
14308,20200424,wallet.apple.com,https://wallet.apple.com/,text/html,,,
19486,20200504,wallet.apple.com,https://wallet.apple.com/,text/html,,,
22924,20200515,wallet.apple.com,https://wallet.apple.com/,text/html,,,
64817,20200529,wallet.apple.com,https://wallet.apple.com/,text/html,,,
65101,20200522,wallet.apple.com,https://wallet.apple.com/,text/html,,,
73241,20200529,wallet.apple.com,https://wallet.apple.com/,text/html,,,
82471,20200605,wallet.apple.com,https://wallet.apple.com/,text/html,,,
92736,20200612,wallet.apple.com,https://wallet.apple.com/,text/html,,,
103966,20200619,wallet.apple.com,https://wallet.apple.com/,text/html,,,
114988,20200626,wallet.apple.com,https://wallet.apple.com/,text/html,,,
125206,20200703,wallet.apple.com,https://wallet.apple.com/,text/html,,,
135619,20200710,wallet.apple.com,https://wallet.apple.com/,text/html,,,
146058,20200717,wallet.apple.com,https://wallet.apple.com/,text/html,,,
157518,20200724,wallet.apple.com,https://wallet.apple.com/,text/html,,,
168545,20200731,wallet.apple.com,https://wallet.apple.com/,text/html,,,
178322,20200807,wallet.apple.com,https://wallet.apple.com/,text/html,,,
190526,20200814,wallet.apple.com,https://wallet.apple.com/,text/html,,,
203336,20200821,wallet.apple.com,https://wallet.apple.com/,text/html,,,
213966,20200828,wallet.apple.com,https://wallet.apple.com/,text/html,,,
226222,20200904,wallet.apple.com,https://wallet.apple.com/,text/html,,,
240277,20200911,wallet.apple.com,https://wallet.apple.com/,text/html,,,
249913,20200918,wallet.apple.com,https://wallet.apple.com/,text/html,,,
