,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
36030,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/community-story/9909092-notl-wineries-close-restaurants-and-cancel-tours-amid-coronavirus/,text/html,application/xhtml+xml,en,"NOTL wineries close restaurants and cancel tours amid coronavirus | WaterlooChronicle.ca NOTL wineries close restaurants and cancel tours amid coronavirus Community Mar 17, 2020 by Satbir Singh Niagara-on-the-Lake Advance Following Premier Doug Ford’s announcement that Ontario was officially declaring a state of emergency, Niagara-on-the-Lake wineries are having their hands forced with potential closures. The state of emergency comes due to the growing cases of the novel coronavirus, and Ford’s announcement is forcing restaurants and bars to close. Ford made his statement the morning of March 17, and the following information is up-to-date with winery statements as of print time. Andrew Peller Limited — owners of Peller Estates, Trius Winery & Restaurant, Wayne Gretzky Estates Winery and Thirty Bench in Beamsville — announced all restaurants would be closing immediately. Wines, however, will continue to be available in the retail store as well as at The Wine Shop locations throughout Ontario. “We recognize that this may cause some inconvenience to our winery visitors, but it is with the health and safety of our guests, staff and community in mind that these decisions have been made,” said Tim Coons, regional estate manager with Andrew Peller Limited. Peller Estate will also cancel its 2020 Party in the Vineyard: Food Truck Edition event, which has been hosted over the May long weekend for the last eight years. The plan is to keep any June and summer events on the calendar as scheduled, but ticket release dates for those events will be postponed. Konzelmann Estate Winery has also decided it will suspend its tours and tasting, effective immediately. They do intend to continue operations as a retail outlet, but will only be accepting card payments; no cash. Online orders for delivery can also be made. Arterra Wines Canada — owners of Jackson-Triggs, Inniskillin and other brands — also cancelled its wine tours, tasting and events but remain open as a retail store; however, it will only be open for curbside pick up. Orders can be placed by call or online, and pick up location can be decided at checkout. Online orders for shipping are also available. Reif Estate Winery is limiting its winery to 15 guests to allow for social distancing, while also cancelling wine tours, tastings and events. Only the wine shop will remain open, and will only accept debit or credit card, while also taking online orders for shipping. Two Sisters Vineyard, according to their website, is closed until April 6. For wineries not mentioned in this article, it’s important to call ahead. NOTL wineries close restaurants and cancel tours amid coronavirus Handful of wineries will operate as retail only Community Mar 17, 2020 by Satbir Singh Niagara-on-the-Lake Advance Following Premier Doug Ford’s announcement that Ontario was officially declaring a state of emergency, Niagara-on-the-Lake wineries are having their hands forced with potential closures. The state of emergency comes due to the growing cases of the novel coronavirus, and Ford’s announcement is forcing restaurants and bars to close. Ford made his statement the morning of March 17, and the following information is up-to-date with winery statements as of print time. Andrew Peller Limited — owners of Peller Estates, Trius Winery & Restaurant, Wayne Gretzky Estates Winery and Thirty Bench in Beamsville — announced all restaurants would be closing immediately. Wines, however, will continue to be available in the retail store as well as at The Wine Shop locations throughout Ontario. “We recognize that this may cause some inconvenience to our winery visitors, but it is with the health and safety of our guests, staff and community in mind that these decisions have been made,” said Tim Coons, regional estate manager with Andrew Peller Limited. Peller Estate will also cancel its 2020 Party in the Vineyard: Food Truck Edition event, which has been hosted over the May long weekend for the last eight years. The plan is to keep any June and summer events on the calendar as scheduled, but ticket release dates for those events will be postponed. Konzelmann Estate Winery has also decided it will suspend its tours and tasting, effective immediately. They do intend to continue operations as a retail outlet, but will only be accepting card payments; no cash. Online orders for delivery can also be made. Arterra Wines Canada — owners of Jackson-Triggs, Inniskillin and other brands — also cancelled its wine tours, tasting and events but remain open as a retail store; however, it will only be open for curbside pick up. Orders can be placed by call or online, and pick up location can be decided at checkout. Online orders for shipping are also available. Reif Estate Winery is limiting its winery to 15 guests to allow for social distancing, while also cancelling wine tours, tastings and events. Only the wine shop will remain open, and will only accept debit or credit card, while also taking online orders for shipping. Two Sisters Vineyard, according to their website, is closed until April 6. For wineries not mentioned in this article, it’s important to call ahead. Top Stories NOTL wineries close restaurants and cancel tours amid coronavirus Handful of wineries will operate as retail only Community Mar 17, 2020 by Satbir Singh Niagara-on-the-Lake Advance Following Premier Doug Ford’s announcement that Ontario was officially declaring a state of emergency, Niagara-on-the-Lake wineries are having their hands forced with potential closures. The state of emergency comes due to the growing cases of the novel coronavirus, and Ford’s announcement is forcing restaurants and bars to close. Ford made his statement the morning of March 17, and the following information is up-to-date with winery statements as of print time. Andrew Peller Limited — owners of Peller Estates, Trius Winery & Restaurant, Wayne Gretzky Estates Winery and Thirty Bench in Beamsville — announced all restaurants would be closing immediately. Wines, however, will continue to be available in the retail store as well as at The Wine Shop locations throughout Ontario. “We recognize that this may cause some inconvenience to our winery visitors, but it is with the health and safety of our guests, staff and community in mind that these decisions have been made,” said Tim Coons, regional estate manager with Andrew Peller Limited. Peller Estate will also cancel its 2020 Party in the Vineyard: Food Truck Edition event, which has been hosted over the May long weekend for the last eight years. The plan is to keep any June and summer events on the calendar as scheduled, but ticket release dates for those events will be postponed. Konzelmann Estate Winery has also decided it will suspend its tours and tasting, effective immediately. They do intend to continue operations as a retail outlet, but will only be accepting card payments; no cash. Online orders for delivery can also be made. Arterra Wines Canada — owners of Jackson-Triggs, Inniskillin and other brands — also cancelled its wine tours, tasting and events but remain open as a retail store; however, it will only be open for curbside pick up. Orders can be placed by call or online, and pick up location can be decided at checkout. Online orders for shipping are also available. Reif Estate Winery is limiting its winery to 15 guests to allow for social distancing, while also cancelling wine tours, tastings and events. Only the wine shop will remain open, and will only accept debit or credit card, while also taking online orders for shipping. Two Sisters Vineyard, according to their website, is closed until April 6. For wineries not mentioned in this article, it’s important to call ahead. Top Stories More News More News"
36043,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/community-story/9909092-notl-wineries-close-restaurants-and-cancel-tours-amid-coronavirus/,text/html,,,
36049,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/1617/?mode=desktop&pskey=-8865863638959968147283283,text/html,text/plain,,
36050,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/21219/?mode=desktop&pskey=-8865863638959968147283283,text/html,text/plain,,
36051,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/21029/?mode=desktop&pskey=-8865863638959968147283283,text/html,text/plain,,
36052,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/1146/?mode=desktop&pskey=-8865863638959968147283283,text/html,text/plain,en,NOTICE TO READERS:
36053,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/1700/?mode=desktop&pskey=-8865863638959968147283283,text/html,text/plain,,
36054,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/24583/?mode=desktop&pskey=-8865863638959968147283283,text/html,text/html,,
36055,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/1702/?mode=desktop&pskey=-8865863638959968147283283,text/html,text/html,,
36056,20200625,waterloochronicle.ca,https://www.waterloochronicle.ca/pagecontainer/1703/?mode=desktop&pskey=-8865863638959968147283283&acid=A9909092,text/html,text/plain,en,"After Ontario declared a state of emergency, Niagara-on-the-Lake wineries have begun to close their restaurants and cancel wine tours - Torstar file photo"
