,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6685,20200417,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,text/html,en,... User name Password Confirm new password Stay signed in Forgot your password? Email Back to sign in This app uses JavaScript. Your browser either doesn't support JavaScript or you have it turned off. To use this app please use a JavaScript enabled browser.
13730,20200424,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
18072,20200504,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
21925,20200515,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,text/html,en,... User name Password Confirm new password Stay signed in Forgot your password? Email Back to sign in This app uses JavaScript. Your browser either doesn't support JavaScript or you have it turned off. To use this app please use a JavaScript enabled browser.
60415,20200522,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
61478,20200529,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
71249,20200529,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
80318,20200605,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
90567,20200612,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
101738,20200619,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
111518,20200626,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
122009,20200703,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
132304,20200710,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
142757,20200717,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
153156,20200724,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
164015,20200731,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
175115,20200807,webmail.xtra.co.nz,https://webmail.xtra.co.nz/appsuite/,text/html,,,
