,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
5385,20200417,welland.ca,https://www.welland.ca/Transit/TransitNotices.asp,text/html,text/html,en,"Transit Alerts and Notices Skip to Main Content Menu Listen Transit Alerts and Notices Wednesday, April 8th, 2020 Effective end of service Saturday, April 11th, 2020, until further notice, Welland Transit will be providing the following levels of service; Welland Transit Essential public transportation service in Welland will be operating Monday to Friday inclusive from 8 a.m. to 6 p.m. To use this service, a resident needs to call Welland Transit from 8 a.m. to 3 p.m. at least one day prior to the requested pick-up time, effective Monday, April 13th, 2020. Booking for a ride will be accommodated on a ‘first come – first serve basis’ and the request cannot be any further out than two weeks from the date of the call. Please note times are subject to change with notice. To book your trip, kindly call (905) 735-1700 ext. 2291 WellTrans Service WellTrans service will be available Monday to Friday inclusive from 10 a.m. to 6 p.m. To book a trip, kindly call (905) 414-7921. Niagara Region Transit Until further notice, all Niagara Region Transit services, which include the Port Colborne Link are operating on the hourly frequency Saturday service Monday to Saturday. For further information, kindly visit niagararegion.ca/transit or call (905) 980-6000 ext. 3550. Port Colborne Community The Port Colborne Community service will be suspended until further notice after end of service Thursday, April 9th, 2020. Boarding will take place at the rear doors unless you require a mobility device, which would allow you to board at the front door. There will be no fares required by our customers during this challenging period. This limited service is for essential trips only, which includes; medical appointments, employment, and weekly grocery store trips. Scroll"
5386,20200417,welland.ca,https://www.welland.ca/TLmenu/TransitMenu.asp,text/html,application/xhtml+xml,en,Transit Menu Transit Transit Alerts/Schedule Information Passenger Information WellTrans TransCab Inter-Municipal Transit FAQ Parking Home Contact Us
5387,20200417,welland.ca,https://www.welland.ca/Transit/,text/html,text/html,en,"Transit Skip to Main Content Menu Listen Transit Transit Contact Information: Help us to serve you better. We would like passenger comments and suggestions for improving our local public transit service. Your input is important to us. Welland Transit c/o Civic Square 60 East Main Street Welland, Ontario L3B 3X4 or email: Transit@welland.ca General Information 905-735-1700 ext. 2291 Trans-Cab Bookings 905-735-4500 WellTrans Bookings 905-735-1700 ext. 3102 Downtown Terminal is located at: 160 East Main St. Transit Alerts/ Schedule Information ≫ Passenger Information ≫ WellTrans ≫ TransCab ≫ InterMunicipal Transit ≫ Scroll"
5388,20200417,welland.ca,https://www.welland.ca/Transit/TransitInfo.asp,text/html,text/html,en,"Passenger Information Skip to Main Content Menu Listen Passenger Information Stop Request Stop Request is a service available after dusk for passenger safety. If you wish to exit at a location other than a regular bus stop, kindly notify your Bus Operator where you would like to get off and they will stop the bus as close to your request as possible. The Operator must be able to stop safely and you must use the front door to exit. Flag Stop Flag Stop for Port Colborne only You can board the bus by waving to the driver as the bus approaches. Look for the waving hand symbol on the maps, which highlights areas where Flag Stop is in effect. Priority Seating Priority Seating is for the use of passengers with a disability. These seats are located close to the front of the vehicle. Customers are expected to respect and obey the purpose of the designated seating area which means: If you are sitting in one of these designated seats, you MUST vacate the seat for a passenger with a disability. Courtesy Seating Courtesy seating is intended to provide additional seating for people who will benefit from having a seat near the front of the vehicle including: seniors, expectant mothers, adults travelling with infants or small children or any other passenger who may benefit from a seat. If you are sitting in one of these designated seats, please respect its purpose and give up your seat to those who need it. Stroller Policy The safest place for a young child while on-board a bus is in the arms of an adult. When travelling kindly perform the following tasks when riding the bus: Passengers with strollers may wheel their child onboard while the child remains in the stroller. While on-board, strollers can be parked with the child in the wheelchair-accessible area, preferably with the stroller facing the rear of the bus. The baby must be buckled in the stroller; the brake/wheel lock of the stroller must be applied; the adult is to hold the stroller securely while the bus is in motion. If the wheelchair areas are full, or if a passenger who requires priority seating boards, the stroller must vacate and move to another seat where the baby can be removed and the stroller can be folded & stored safely between the seats, keeping the aisle to remain free for passengers to board and exit. Passengers requiring priority seating include people using mobility devices (such as wheelchairs, walkers or scooters, or crutches), or a person who is blind. Service Animals Certified Service Dogs are allowed on all Welland Transit buses. The owner must have a letter from a certified medical practitioner confirming the required assistance of a service animal. Non-certified small dogs and animals are also allowed on all Welland Transit operated buses provided they are in proper animal carriers. They must be carried at all times by the passenger, not bother other customers, do not take up a seat and do not cause an obstruction in the aisle. Acceptable carriers are either the hard plastic ones, or the soft sided vented duffel style, the animal must be totally secured in these carriers. Sporting Gear & Bulky Packages Welland Transit fleet are now equipped with bike racks. Equipment is allowed, provided it is kept clear of the aisles. No Eating, Drinking, or Smoking No food, drink or smoking permitted on all buses or in shelters in accordance with City by-laws. Smoking is not permitted on any bus, in any shelter, or at the terminal including the terminal platform. This policy applies to both cigarettes and e-cigarettes. Transfer Policy When you begin your trip, ask the Bus Operator for a transfer. You will use this transfer as payment when you board your next bus. All transfers are valid for 30 minutes from the time of issue. Mobility Device Policy Welland Transit conventional buses provide 2 spaces at the front of each conventional bus for those with wheeled mobility aids. These spaces measure 30 inches wide by 50 inches long. Due to space limitations, the mobility aid must not exceed these dimensions. Scroll"
5389,20200417,welland.ca,https://www.welland.ca/Transit/WellTrans.asp,text/html,text/html,en,"WellTrans Skip to Main Content Menu Listen WellTrans WellTrans is a service that provides public transportation to Welland residents who require an accessible door-to-door transportation service. We will accommodate your medical, educational and recreational transportation requirements. Registration If you wish to use WellTrans, you must fill out a registration form with your physician’s signature stating you are unable to use regular transit service. Once the application is approved, you’ll receive a registration approval and can start using the WellTrans service. WellTrans Application (pdf) ≫ Support Person Pass Application (pdf) ≫ Please mail or fax Applications to: 905-732-9422 WellTrans Service Hours: Monday to Friday: 7:15am to 6:45pm Saturday: 9:30am to 6:15pm *ASK ABOUT OUR EXTENDED HOURS. We also have extended hours on Weekdays (6:30am-7:15am, 6:45pm up to 11pm), Saturday (6:30am-9:30am, 6:15pm up to 10pm), and Sunday service (9:45am to 5pm) available through a separate provider. Call the WellTrans office to book your transportation. WellTrans clients can book weekdays between 8:30am and 2:30pm by calling 905-732-4181 or 905-735-1700 at ext 3102. We do not do same day bookings. Cancellations need to be made a min of 24hrs in advance. Same day cancellations for after hours trips only Monday to Friday after 4:30pm and on Saturday please call 905-735-4500. Please note charges will apply to trips cancelled less than 24 hours and for same day cancellations. Fares (Effective June 4, 2017) Cash $3.00 WellTrans Econo Pass (10 rides) $25.00 Note: WellTrans passengers may use the following accessible routes #3, #5, #6, #9, #10 West Community and #11 East Community. For specialized out of town service please call Niagara Specialized Transit at 905-680-2052 Scroll"
5390,20200417,welland.ca,https://www.welland.ca/Transit/TransCab.asp,text/html,text/html,en,"TransCab Skip to Main Content Menu Listen TransCab Welland Transit Trans-Cab service is provided for areas of the city not served by regular transit buses - Daimler and St. Lawrence (north of Quaker Road) in the city's north end, Cooks Mills in the east end, and Dain City/Vaughan Rd. in the south end. Trans-Cab allows you to book your trip in advance, be picked up at your door by taxi and connect you with regular Welland Transit buses headed for downtown - all for only $1.25 more than the regular bus fare! How To Trans-Cab To Downtown Check the map. If you live within a Trans-Cab area, call 905-735-4500 at least one hour before you'd like to meet the bus. To book trips from Cooks Mills and Dain City, contact Trans-Cab to ensure you are within the service area. A taxi will pick you up at your door no later than five minutes before you have to be at the transfer point to meet the bus. The fare will be $1.25 above the regular fare. If utilizing more than 1 Trans-cab zone, an additional $1.25 will be required. The taxi will take you to the bus. Trans-Cab connection points are marked with the Trans-Cab symbol. How To Trans-Cab From Downtown When you board the bus, simply ask your Bus Operator to contact the Trans-Cab for the following routes: Route 501 (Webber Rd.) Routes 505, 511 (Cooks Mills) Routes 501, 506, 511 (Dain City) Routes 502, 503, 508 & 510 (Quaker Road) Routes 508, 509, & 510 (Seaway) Scroll"
5391,20200417,welland.ca,https://www.welland.ca/Transit/Inter-MunicipalTransit.asp,text/html,text/html,en,"Inter-Municipal Transit Skip to Main Content Menu Listen Inter-Municipal Transit St. Catharines, Welland and Niagara Falls, along with the Niagara Region are working together to consider transit requirements for an integrated transit system. Work is underway to develop options for a joint transit system that meets the needs of all municipalities, in response to a motion from Niagara Regional Council (March, 2015) and subsequent support by the City of St. Catharines, City of Welland and City of Niagara Falls. Intermunicipal transit is a priority because: It moves people to work, school and health services It supports current GO Bus and future GO Rail Service in Niagara It facilitates economic development It contributes to a high quality of life for Niagara residents It supports sustainable development Intermunicipal transit is related to other critical transportation initiatives by the Region and City Councils, including Niagara’s Transportation Master Plan, a comprehensive strategic planning document that will define the policies, programs and infrastructure improvements needed to address Niagara's transportation needs now through to 2041, including GO Transit. Impact on Niagara GO Train Service The recent inclusion of Niagara GO service in the Provincial Government's 2016 budget indicates that GO Train service is a priority for the Province. While intermunicipal transit is not a prerequisite to GO Rail service in Niagara, an integrated system will enhance transit offerings to residents, and indicate to the Provincial Government that preparations are in place for GO and a streamlined transit system throughout Niagara's communities is a priority. Intermunicipal transit is just one initiative underway to support Niagara GO. The Niagara Transit Service Delivery and Governance Strategy Update January 2017 Since January 2016, the Inter-municipal Transit Working Group of Mayors, CAO’s and transit managers from St. Catharines, Welland and Niagara Falls with support from the Regional Chair and CAO, have been working together to develop options for integrated transit services for Niagara. The group has been working with Dillon Consulting to develop options for an integrated transit system that works for all of Niagara. Focused on the transit user, the working group has been working cooperatively make improvements to the existing Niagara Region Transit services during the pilot project period – to make the existing transit services the best they can be. A service delivery and governance strategy for the future of public transit in Niagara is being presented to local municipal councils for consideration this January and February. The Niagara Transit Service Delivery and Governance Strategy report commissioned by the Working Group provides strategic recommendations for the improvement of transit service throughout Niagara. In October 2016 Dillon Consulting provided an update to Niagara’s municipalities and sought feedback from municipal councils and the St. Catharines Transit Commission. In November the team consulted with the community at public meetings and through an online survey. The feedback from councils and the community helped shape the consultant’s final recommendations. The final report presents a governance strategy that recommends a consolidated transit model. This would see St. Catharines, Niagara Falls and Welland Transit systems combine their services into one large consolidated transit system to serve the entire Niagara region. The consolidated transit model would allow local municipalities to maintain control over transit system planning and allows the Region to be involved in the funding and decision making of inter-municipal connections. The recommendation for consolidation calls for the creation of a new governing body such as a municipal service board or commission made up of representatives from St. Catharines, Niagara Falls, Welland and Niagara Region with advisory representation from Niagara’s municipalities involved with connecting transit services. The report recommends improvements to inter-municipal transit services in Niagara by: Increasing the frequency of inter-municipal service so that buses arrive every 30 minutes during peak periods Extending service hours so that transit is available later in the evening Extending full weekend service that would have inter-municipal transit operating on Sundays. Eliminating duplicate routes and services to be –reinvested Improving integration with other municipal transit systems; Creating a new Niagara-West inter-municipal transit link Adding new dynamic transit services for low-demand and rural areas Integrating fare strategy, payment technology and trip-planning. The report also outlines the next steps to be taken to create a consolidated transit system for Niagara including financial and legal considerations to be taken by local service bodies and municipalities. The report will be presented to the city councils of St. Catharines, Niagara Falls and Welland starting Jan. 16. It is expected that the city councils will refer the consultant’s report to municipal staff for a detailed review and report back in Feb. 2017 before any decisions are taken. The Niagara Transit Service Delivery and Governance Strategy will be presented to Niagara Regional Council in spring 2017, once the local councils of St. Catharines, Niagara Falls and Welland have had the opportunity to review and consider the direction. If the municipalities of St. Catharines, Niagara Falls and Welland agree to create a consolidated transit system to service Niagara, Regional Council will have to provide “triple majority” support for this service direction before steps can be taken to consolidate. A strong, efficient and effective public transit system is critical for Niagara’s future economic growth and prosperity. Inter-municipal transit enables residents to access education, employment, recreation and social services - key elements in a strong, vibrant economy. Local and inter-municipal connections will support daily GO train service coming to Niagara. Niagara Transit Service Delivery and Governance Strategy For further information, view the Inter Municipal Transit FAQ (PDF). Scroll"
5392,20200417,welland.ca,https://www.welland.ca//transit,text/html,,,
6010,20200417,welland.ca,https://www.welland.ca/hottopics/COVID-19.asp,text/html,text/html,en,"COVID-19 Skip to Main Content Menu Listen COVID-19 information details Did you receive a phone message from Mayor Frank Campion? Each Mayor in Niagara has recorded a special COVID-19 phone message as part of the State of Emergency Declaration. These messages are being sent to landlines and cellphones on or after April 7, 2020. These calls comply with CRTC rules. If you have questions about COVID-19, visit www.niagararegion.ca/health. Thank you. Please continue to check this webpage for updates on City of Welland services, facilities and events. Also visit our Media Releases webpage. Also visit the Niagara Region Public Health - Novel Coronavirus webpage for updates. New Message from Mayor Frank Campion on COVID-19 - April 9, 2020 Message from Mayor Frank Campion on COVID-19 - April 2, 2020 City of Welland COVID-19 fact sheet Additional Resources and Information (i.e. Government links) Federal and Provincial Government : Please Refer to the Government of Canada Link for Information to Travellers Arriving in Canada. Listing of business allowed to be open as essential services Ontario Prohibits Gatherings of More Than Five People with Strict Exceptions Financial assistance for businesses: https://www.canada.ca/en/services/business/maintaingrowimprovebusiness/resources-for-canadian-businesses.html Financial assistance for individuals: https://www.canada.ca/en/department-finance/economic-response-plan/covid19-individuals.html Federal information/assistance - Vance Badawey - April 3, 2020 Federal information/assistance - Vance Badawey - April 10, 2020 Ontario Energy Board Update: Electricity disconnection ban extended, residential & small business Regional Government: Niagara Region Social Services - Emergency Assistance Mandatory Closures and Restrictions Due to COVID-19 Niagara Region - Social Support - Niagara Gatekeepers: Measures to Support Seniors in the Community amidst COVID-19 Please click the button at the left to view a list of essential businesses that are offering service to residents during the pandemic. (i.e. Restaurants; Pharmacies; Grocery Stores; Delivery Services; Telehealth) COVID-19 Government Support for Businesses To our business community we have developed a summary of grants, resources and programs in response to the COVID-19 pandemic to assist you during these uncertain times, please click the link below for further details. • COVID-19 Government Support for Businesses COVID-19 Government Support for Individuals To our residents we have developed a summary of assistance, resources and programs in response to the COVID-19 pandemic to assist you during these uncertain times, please click the link below for further details. • COVID-19 Government Support for Individuals Updated 2020.4.9 City of Welland closures and cancellations now extended to June 30 The City of Welland is announcing that it is extending the closure of all public facilities, and the cancellation of events and programming until June 30, 2020. The decision was made by the City’s Corporate Leadership Team and Emergency Control Group, based on the need to protect City staff and residents; to help contain the spread of COVID-19; and to provide some certainty for user groups and key community stakeholders. With the number of confirmed COVID-19 cases and community spread in Niagara and Ontario on the rise, public health officials are indicating that it is more important than ever to continue to practice physical distancing, including self-monitoring and self-isolation. All indications from the experts are that these measures will be in place for months, not weeks. This page is updated daily regarding the City’s COVID-19 response, important information from Niagara Public Health, as well as municipal, provincial, and federal program information to assist residents and businesses. Facility Closures will be closed to the public until June 30 City Hall Firehalls Public Works Transit Office The Transit Terminal on East Main Street The Jack Ballantyne Memorial Youth Arena & Main Arena The Welland Community Wellness Complex The Welland Public Library (all three branches) The Welland Museum The Welland International Flatwater Centre Welland Market Square (including Welland Farmers’ Markets) Youngs Sportsplex Youth Innovations Chippawa Park Community Center Hooker St Community Center Cooks Mills Hall Carrie Lynn Pinard Centre All outdoor recreational facilities (eg. sports fields, pickle ball courts, parks, skatepark and playgrounds) All washrooms at Merritt Island Dog Park Staff will be in the office. The public is encouraged to contact staff by email and phone listing of who to call contact us webpage to send an email City staff recognize that closures will impact a host of users and organizations; however, these measures are necessary to lessen the spread of COVID-19. All individuals or organizations affected by these closures will have their facility rental fees refunded without penalty and staff will work to reschedule events. Transit Services Effective end of service Saturday, April 11th, 2020, until further notice, Welland Transit will be providing the following levels of service; Welland Transit Essential public transportation service in Welland will be operating Monday to Friday inclusive from 8 a.m. to 6 p.m. To use this service, a resident needs to call Welland Transit from 8 a.m. to 3 p.m. at least one day prior to the requested pick-up time, effective Monday, April 13th, 2020. Booking for a ride will be accommodated on a ‘first come – first serve basis’ and the request cannot be any further out than two weeks from the date of the call. Please note times are subject to change with notice. To book your trip, kindly call (905) 735-1700 ext. 2291 WellTrans Service WellTrans service will be available Monday to Friday inclusive from 10 a.m. to 6 p.m. To book a trip, kindly call (905) 414-7921. Niagara Region Transit Until further notice, all Niagara Region Transit services, which include the Port Colborne Link are operating on the hourly frequency Saturday service Monday to Saturday. For further information, kindly visit niagararegion.ca/transit or call (905) 980-6000 ext. 3550. Port Colborne Community The Port Colborne Community service will be suspended until further notice after end of service Thursday, April 9th, 2020. Boarding will take place at the rear doors unless you require a mobility device, which would allow you to board at the front door. There will be no fares required by our customers during this challenging period. This limited service is for essential trips only, which includes; medical appointments, employment, and weekly grocery store trips. Cancelled Events All Welland Farmers’ Markets at Market Square Recreation and Wellness Expo Welland, March 28, at Welland Community Wellness Complex Volunteer Firefighter Recruitment is suspended until further notice, and the Open House scheduled for March 28th is cancelled Sport Awards - April 3 - Postponed Friday Night Live - April 15 - Cancelled Volunteer Appreciation - April 22 - Postponed Canalside Players Backstage - April 24-May 2 - Postponed Wall of Fame - May 3 - Postponed MYAC Youth Concert - May 8 - Cancelled High Five PHCD - May 9 - Postponed Friday Night Live - May 15 - Cancelled Victoria Day - May 17 - Cancelled Mayors Coffee Break - May 21 - Cancelled Dain City Purse Bingo - May 22 - Postponed Orchestrum – May 8 – Cancelled Mandolin Orchestra of Niagara – May 31 – Cancelled Seniors’ Month Event – June 2 – Postponed Velvetone’s Spring Concert – June 7 – Cancelled Summer Social Kick off – June 12 – Cancelled Recreation Month Events – Cancelled Meetings Council meetings/ General Committee meetings: View our 2020 Schedule of Council Meetings for updates. Please note: Please be advised that all Council Meetings are a public meeting, but our facilities are closed to the public as a precautionary measure. There are options for you to provide comment and view the meetings: Residents can provide a written comments to council@welland.ca. The meeting will be live streamed, which can be viewed on the City’s website. Additional social distancing precautions will be in place at the meeting for those required to be in attendance. We remind residents that these are unusual times and we are keeping the health and safety of our community as a priority. If you have any questions about the meeting, please contact the Clerks Office at clerk@welland.ca Committee meetings have been cancelled until June 30 Planning pre-consultation meetings have been cancelled until June 30 Services by appointment only Water meter installations for new home construction will continue Inspections for new commercial and residential construction will continue by appointment and must be prearranged first by calling 905-735-1700 Ext. 2257 (Inspections for occupied dwellings will be suspended) Pre-Construction meetings will take place by telephone and must be prearranged first by calling 905-735-1700 Ext. 2217 Water Quality Complaints will continue by appointment only and must be prearranged first by calling 905-735-1700 Ext. 3000 Fire Department is available by appointment by calling 905-735-1700 Ext. 2403 - citizens may continue to call to report fire safety concerns Tax and Water Payment Relief Options Relief for Tax and Water/Wastewater Payments: (see Media Release) The following deferrals will be in effect from March 19 until May 31, 2020: Penalty and interest charges on pending and outstanding tax and water/wastewater billing arrears Interest charges on outstanding account receivables The Pre-authorized payment program (PAP) will continue for Tax and Water billings and NSF charges will be waived. Participants who wish to withdraw from the program can do so without penalty. Deferral of Rate Increase for Water/Wastewater Billings: Retail rate increases for Water/Wastewater billings, normally scheduled for April, May and June billings, will be deferred until the billing cycle commencing July 1, 2020, to provide additional financial relief to our residents and businesses. Marriage Licenses/Services Marriage ceremony services scheduled to occur in May have been cancelled. Due to our offices being closed to the public, we are not issuing marriage licenses until further notice. For couples who have purchased and obtained a marriage license - marriage licences are valid for 3 months. The Office of the Registrar General is exploring options related to the timeframe on currently issued marriage licences. Additional information to be provided when it comes available. Recreational Programming Services All Spring Recreational Programming scheduled to begin on April 6 at the Welland Community Wellness Complex (WCWC) is cancelled, and the WCWC will remain closed until June 30. All registrants will be contacted via email or phone regarding credits or refunds, should you have any questions please email recreation@welland.ca Sewer Roding and CCTV Inspections The City of Welland Public Works Department staff will not enter private homes and or businesses to complete CCTV inspections or sewer roding of sanitary laterals. Public Works staff will complete CCTV inspections and sewer rodding only if there is access to the sanitary sewer lateral from a clean-out located outside the home at the property line. Please contact us at pw@welland.ca for more information. Building Permits - Inspections and Applications Building Inspections: Inspections continue to be conducted by Building Inspectors on construction sites deemed essential by the Provinces Emergency Order. Inspection of non-essential sites have been discontinued pending the repeal of the Emergency Order. Building Permit Applications: Building permit applications will continue to be accepted by courier, mail, or electronically for all categories of construction. Staff will review the application based on scope of the proposed construction, confirm the application fee and respond to the applicant accordingly. Applications will be processed in the permit tracking system up to and including “Ready for Issuance”. Building permit issuance will be subject to collection of all applicable charges and fees in accordance with the City of Welland Fees and Charges Bylaw. Permits may be issued for all categories of construction with the following caveat: Please be advised that the issuance of this permit is subject to all restrictions and prohibitions under the law. More specifically, the issuance of this permit does not mean, nor does the City represent or warrant, that construction can be carried out in contravention of any Act, Regulation and/or provincial order prohibiting construction deemed non-essential. Please note that you must review the list of construction projects deemed essential and it is recommended that you seek legal opinion to determine whether your project is deemed essential under the Emergency Management and Civil Protection Act (EMCPA) and its Regulations, as amended from time to time before proceeding with construction in order to avoid contravening the law. Construction projects deemed non-essential are prohibited. Please further note that, subject to any restrictions imposed by the EMCPA and its regulations or other law, Inspections will only be carried out on construction projects deemed essential under the EMCPA and its Regulations, as amended. Building permits can be picked up by appointment only or mailed upon request. Should you have any further questions, please contact the undersigned at jack.tosta@welland.ca Other information Parking ticket payments: During the closure of Civic Square, residents can make parking ticket payments using Visa or MasterCard through our online service provider, Paymentus. Cheques can be mailed to our office at 60 East Main St., Welland, ON L3B 3X4, or placed in the Civic Square drop box located at the first set of doors of the Civic Square (closest to Cross Street). MPAC Update - 2020 Property Assessment Update Postponed (2020 Assessment Update) Trails / Merritt Island The trails are not closed but physical distancing is required. The access to Merritt Island and other parking lots along the trails have been barricaded as part of the Premier’s “Don’t Drive to Walk” initiative. Enforcement of EMCPA (Emergency Management and Civil Protection Act) City of Welland By-law staff are working closely with the Niagara Regional Police Service to enforce Provincial Orders. Upon receiving a complaint, By-law enforcement staff will follow up with homeowners/business owners and advise them of the Order. If you observe any violation of a Provincial Order, please contact the City’s Bylaw Division directly at 905-735-1700 ext. 2224 or by email to bylaw_enforc@welland.ca. The By-law Enforcement Team is available Monday to Friday, 8:30 a.m. to 4:30 p.m. and Saturday and Sunday, 9:00 a.m. to 5:00 p.m. If a violation occurs outside of these hours, please contact Niagara Regional Police Service at the non-emergency number 905-688-4111. If you are a business owner and you have questions about the temporary measurers including closures and essential workplaces, call the Stop the Spread Business Information Line at 1-888-444-3659. Scroll"
6011,20200417,welland.ca,https://www.welland.ca/hottopics/COVID-19.asp,text/html,,,
