,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
647904,20210611,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkYTgwMTFlODljYTk3ZTg1ZTNiMmI2OTUxODc0NjhjNTIwNjMwZmJkNWM0MWJjZjEzOTlhNDYwNTU3ODNiMDUyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyMzQ0MDI2Miwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjIzNDQwMjYyLCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.qFZ6WthI1-SpUE7_q8ztrzSFbp9DBP95GmhrQBwCKitmCFgEsFyPrJAjJE73gOvMr1GQXOwpUs1a3iror8OmcX1UF7m5I7eXAyhK0vKK7KsDQtsegMtcgDx52e0WNyW8bKbuv7zaPxjGfDN_CxyDFZ2JMZS7o8VcVBS8ziwcqrkBzOyDiGcAEaK2vHRNbXpUWv8yJXzhPM6XS8PJiNZfyT_kZFx-CeYXXB1phG8fNuLuTL75aF03DxONlGfP-GqXScoz5MDEjZa7SRRXtc9eFTtP__Ipf5dWSKdeIKT8lD9I2dW7FDWtnNc6JgpOeKopvdB1b9x_f0LLT_18tTW7ow&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
660062,20210618,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkYTgwMTFlODljYTk3ZTg1ZTNiMmI2OTUxODc0NjhjNTIwNjMwZmJkNWM0MWJjZjEzOTlhNDYwNTU3ODNiMDUyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyNDA0NDk5MSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI0MDQ0OTkxLCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.jB1d1r8BoTAmItZP6BhG1DuBoJAREqhNgIX6Dn98sfrizlGFoJuGV2Eb8O95gKHLpY4a5QnlzKkF85mFI39XjjMLMu4LOT9m-RjnEhvBQ6TPUdluBKoWaCNLIS8PtGP1x7biMZVr6TbqCLrNsxYhbIouBFSgpIbZZlZz_LO27rJu3HZBFk0iXtWPTCVBZvY5jhGxjnKczbWPSz9G5oJJyv3dsuRItUzyq4j65lFKM8tzNq14VQM8aAzkhqIQlv8l46Ki9pPtCvAIlYQ0104HGS0E6NuWfK6NaXDcVmnuGcaEP7KxDAOv4hwGPk9o5Ffit1yJ7kDA7eyStifYcKIwbQ&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
663546,20210625,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkYTgwMTFlODljYTk3ZTg1ZTNiMmI2OTUxODc0NjhjNTIwNjMwZmJkNWM0MWJjZjEzOTlhNDYwNTU3ODNiMDUyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyNDY1MjE2MCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI0NjUyMTYwLCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.D6vlQBSE_HxgYPOInmQcjA-uhxja8BiRNHmu818sMEe8M3jLlVaOf3npNj6ayu5y1HPILa724cp1OKR_k0HXL3l8f3LynCqSE5kgkJKaryt-LcEG5iOo2X5dYys1UDCBxRl5Xf03-NX_vA-wm0V1SCt-SZEDPp9y1elCbeiweVSUfsJFKg2SbRwaf73GDI2leirXR2tueAxk5wgqMexCq8bt04Kf4IQ1u9P1UTdDYs9kW1c2DjtOeBv5eghbw-Kb-Hhn15b2latw1ejQH_Ksuj0JYPj-MDRHQMSjinGm951-egc6WpfvEKYBNsazgxrsbeC2cRC7zNK8JN0O8_XLJA&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
671878,20210702,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkYTgwMTFlODljYTk3ZTg1ZTNiMmI2OTUxODc0NjhjNTIwNjMwZmJkNWM0MWJjZjEzOTlhNDYwNTU3ODNiMDUyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyNTI1NDgyMiwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI1MjU0ODIyLCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.mkbKb6l2JzqYs0P8KD2M0MlD7TJC8zrRgzsV6cQWAQBEGRiyXeaygeCvSO35o-CH2a3bMXTD0NoE8M221lOeutu0DBUB-rlNa1YcOCcu-4xMi2AmXxvkqP9OEP12jFqYhyyJp4gDrAZL2GHuVRETUx3WiUsVDbeCm35qyM__5maHqBXnZ1K2tsUwt-yeHbjeKCr-jt1VonlppeYgBC_G2XowglnspReTSAfYOwvtEhHAPIZ125kvPP4F3i0FcTJIzJLUpFqGw4VCrv4psDEBFO4CUHj8a9FMNAe16s8PoqihBRUACyCFUhkjp69VpLnRu9d3EwaqdlH-tQd7oqVksA&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
677877,20210709,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkYTgwMTFlODljYTk3ZTg1ZTNiMmI2OTUxODc0NjhjNTIwNjMwZmJkNWM0MWJjZjEzOTlhNDYwNTU3ODNiMDUyIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyNTg2MDE5NCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI1ODYwMTk0LCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.YKYK-RGyFscmM8Gn00YkwaY26jyLdJfQxbuTQ6rWwdBWyEVDuREKc4t7Oq2szJiwsd-TZ09K-OUPt8HmLyV5aIc5sAEreyJVpdY9QfX9XBE7eVJr-rXalQmTVbfaxesuaH3nTU895_ff3_VgNib8TKW7nctIpeM-g81853zCN_slTAWNNDZofvE6H9Zmp6sRXvKQDx8utn0iQXJPerIfn7R8OmFC7pbYWsALFbIC2cg-AwRzsr-d5D__KAWf6x0AxrgbC61B-fzfbhCXHAHzGkwzzIGG2ute1RmJrkZF6lS0fTmplJa2gd-AOBiTujIE7oV6QKpEE2tm_H3u6vQsoQ&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
683772,20210716,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkZjk5ZTBmNzYwYmViYmE2M2UzZTQwMzgwZTlmYTBiNTBkMzI4YjUxMmIzYzBmZjQzMWFhMTQ0NjY5OWU4MGM0IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyNjQ2NTQ4OCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI2NDY1NDg4LCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.YqKAw4Y8CupF5TDUGGGM4B0VeudLi1lz-cc4EJV2NEecZ-0lI62LQY3hiP1xqjZg5djhP69WHuYY-KkRA6UvK4cbRq2HGh4Pa97pJU2XisieV5z1NMc14ekek3eozmoYUuznmKHEvMmY5beyDfI66W3mJgCqaKPDxLyv8f8XZreLjHxYk1CfPFSu0zQUsY0on8geOGUdjaW10Jk8FHSOxmidUW2rV47W_4WSOm6KM2OdiMKvr1LRWBPgaox--AlCvR-0U4WW6RlWnuaUTUEd8lGMy9dYT7unaJhZ-pnJAKvAf-qs4GZ0eaZMq5g1KKtPFSU9XArTTZFOKqQL97WH_w&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
687288,20210723,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkZjk5ZTBmNzYwYmViYmE2M2UzZTQwMzgwZTlmYTBiNTBkMzI4YjUxMmIzYzBmZjQzMWFhMTQ0NjY5OWU4MGM0IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyNzA2ODkxMywic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI3MDY4OTEzLCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.NYzgkKhaB8t7COru8vgT3nuisPSN4SB77IFYlGHHciJcs1pcpjdO_oLzrgPMyZBjxTE8_k4tLcQ5m6tEbHW42P5chK8-fZ2tZY3u9vY6rSiV6czS7mkt2cxQQ2FLcoxyFZ_k9mAgxrzGy3_j_6VkBsnWZ4PbqnzsO9TMVzIZpd_F-CE3Bbtf9RWVzHJlvrL_hlx937GXBHbZDr171MuJz_luxyKT_kDRaPwdi5qvDGViIOCxAcEreDSFj78cA8o7vfoaZflSJI2pAJzS1TlkpK-FSe6Bk5WnxJRYPi5wv342iL7KLvNtn2ysEVVhNYLP3kyaI6mb9BXiue0l2OB3Tg&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
695343,20210730,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkZjk5ZTBmNzYwYmViYmE2M2UzZTQwMzgwZTlmYTBiNTBkMzI4YjUxMmIzYzBmZjQzMWFhMTQ0NjY5OWU4MGM0IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyNzY3NDEwNywic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI3Njc0MTA3LCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.Y2NGwrTEGcecxlxW8JTtDYUaP2fFmNmymT5OKpZQSjwCNGPbNldoHAVrYPogESNfzWr6o_3z0RUkLoMGPpcgz5XY6wEiFvFf-h0MsSMZk6PK73qFsFkR0s5i8ndUneopsgk1-q7zSZ3HjCqazC7s_ZQKSNVAlmJgefLAbg5afHm_a8A9_QK27ELTAhiIGa0JPapTnlXbkjerRgPkV-DIK4q8Fwrnpwa0wWmWPgfVjL1JkdOqDgKwfJCqhxofpRNXsq0cfXpzQoFROY4Ue37RtqdiPx2Ic5NdFC9ulUba-svap4MUGJysfifWScrrxccX2VJBf8xui7pBSKvM6m3new&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
701257,20210806,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkZjk5ZTBmNzYwYmViYmE2M2UzZTQwMzgwZTlmYTBiNTBkMzI4YjUxMmIzYzBmZjQzMWFhMTQ0NjY5OWU4MGM0IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyODI3ODQ5Mywic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI4Mjc4NDkzLCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.sQIwEktlItR9DbtdHem67in_qB9WNbMC0AlbVQcSlahZUvFTn1cIMUBheyibsR2ewWV2xGBFAmMy8dicI9l5RzDk95TsoDWdX_azF3k4USoXQxoYG0AYJxEYhOWXabRTAruSz7-71hMqk6CDlsNaeAxDocDTgs2Q-vW8_AmmObaG4rmG1JQ-TAy6a5Sg5awv3ptstB69LRvFo88vMNF2jZVNp_qf12lvrtK4bic0fhEfqCqX4PNuVys8XorsNdVSY2qdmWorGEibonQx1UPFqZGDcpCWa6ptEKDGwvxD9fjUSXvQ_WB9F6Sd7wuKHns0A_yuO30USx-s67bER5GSZA&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
704795,20210813,who.cloudflareaccess.com,https://who.cloudflareaccess.com/cdn-cgi/access/login/cms.who.int?kid=cdb38d9e0badb7ac2edd7aa0eb95fcba14b69b4b426c028a0d7856e3610d9bc9&redirect_url=%2F&meta=eyJraWQiOiJkZjk5ZTBmNzYwYmViYmE2M2UzZTQwMzgwZTlmYTBiNTBkMzI4YjUxMmIzYzBmZjQzMWFhMTQ0NjY5OWU4MGM0IiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTYyODg4MzI5OSwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImNkYjM4ZDllMGJhZGI3YWMyZWRkN2FhMGViOTVmY2JhMTRiNjliNGI0MjZjMDI4YTBkNzg1NmUzNjEwZDliYzkiLCJpc19nYXRld2F5IjpmYWxzZSwibmJmIjoxNjI4ODgzMjk5LCJ0eXBlIjoibWV0YSIsImlzX3dhcnAiOmZhbHNlLCJhdXRoX3N0YXR1cyI6Ik5PTkUifQ.F-4JiYsrH0_Xj3uxsfHAYuLC-Yv85AC_V-_3I7hveQPuVSMIny_pKgN3T8s1F1XCgfZOBnlZDeDd-Ze2V0TRWvqcXchRPknAURxEfDUfGiukFbS-WRoDIoxYwFmVsG-ZG8yroyTxjqj6hUpW59By4yfT7_2OM6Tcy_P8Sx9DS9dZsvdilKIwlKfRYM8l8hPGffp2HtsuPRq9yF3-kGYK0QrJBI5lYeshjINICdJAxmcVS61MS5ZcZkiV_VAJgYDZ53RZ3Asir15LXh9bWQAUbIg9nT4XhjC0zZZSkWMaBuf2I2KXtBr25vUUZDB-yjIl30ynvwP5ry-sa0kXLKgwjA&v=5f6265d7,text/html,text/html,en,Sign in ・ Cloudflare Access who.cloudflareaccess.com Whoint Auth Sign in with: Azure AD ・ Sitefinity Cloud Azure AD ・ WHO
