,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
34587,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
34632,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
34691,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
34829,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
34893,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
34947,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
34991,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/23158e03-98bb-4bc7-a431-adeb6e54863d?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Kawartha Region has to offer.
35055,20200626,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
35221,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
35333,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
35377,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
35605,20200626,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
35675,20200626,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
35740,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
35789,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/23158e03-98bb-4bc7-a431-adeb6e54863d?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Kawartha Region has to offer.
35991,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
36034,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/61d6777a-9740-44b9-b849-c03490182dbf?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Waterloo has to offer.
36204,20200626,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/b995d2ef-6796-4bd6-b001-3c4562cc0ccb?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Niagara has to offer.
36317,20200625,widget.secure.ownlocal.com,https://widget.secure.ownlocal.com/embed/c6e54be3-c9d7-4d1c-8232-3eb79238b4c4?adcentric=false&min_featured_level=0&n=null,text/html,text/html,en,Widget Find the best Hamilton has to offer.
