,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
157441,20200724,wingerdisciples.org,http://wingerdisciples.org/,text/html,application/xhtml+xml,en,"Winger Church of Christ (Disciples) - Welcome -  Celebrating 175 Years of Ministry Winger Church of Christ (Disciples) 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca Home About Us Affiliation Worship Times Choir Youth Special Events Bible Studies Camping Prayer Bears Welcome - Celebrating 175 Years of Ministry Welcome to Winger Church of Christ (Disciples) We want you to know that God loves you! Jesus died for you! He loves you more than you can fathom! Due to Covid-19 we are endeavoring to follow Provincial guidlines for our services. We will be holding in person services at 10:30 am in the fellowship hall following a board approved protocol. Sunday July 26, 2020 10:30 am Worship Service - In the Church Hall - doors open at 10:15 am. Sunday August 2, 2020 No Service Sunday August 9, 2020 10:30 am Worship Service - In Church Hall - doors open at 10:15 am. Please be aware that these announcements could change! Please call the church voicemail 905-899-1373 to be assured the services are still happening.﻿ ﻿ God of Light and Love, We pray....... Our Mission To be a faithful growing church, that demonstrates true community, deep Christian spirituality and a passion for justice. Micah 6:8﻿﻿ ﻿ Our Vision To be and to share the Good News of Jesus Christ, witnessing, loving and serving from our doorsteps ""to the ends of the earth."" Acts 1:8 Winger's﻿ Mission ﻿﻿""To bring people to the Lord by actively promoting the living Gospel of the redeeming love of God through our Saviour Jesus Christ."" ﻿ ﻿ ﻿ ﻿ Copyright 2009 Winger Church of Christ (Disciples). All rights reserved. Web Hosting by Yahoo! 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca"
168509,20200731,wingerdisciples.org,http://wingerdisciples.org/,text/html,,,
179456,20200807,wingerdisciples.org,http://wingerdisciples.org/,text/html,application/xhtml+xml,en,"Winger Church of Christ (Disciples) - Welcome -  Celebrating 175 Years of Ministry Winger Church of Christ (Disciples) 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca Home About Us Affiliation Worship Times Choir Youth Special Events Bible Studies Camping Prayer Bears Welcome - Celebrating 175 Years of Ministry Welcome to Winger Church of Christ (Disciples) We want you to know that God loves you! Jesus died for you! He loves you more than you can fathom! See Special Events Tab for Garden Update! Due to Covid-19 we are endeavoring to follow Provincial guidlines for our services. We will be holding in person services at 10:30 am in the fellowship hall following a board approved protocol. Sunday July 26, 2020 10:30 am Worship Service - In the Church Hall - doors open at 10:15 am. Sunday August 2, 2020 No Service Sunday August 9, 2020 10:30 am Worship Service - In Church Hall - doors open at 10:15 am. Please be aware that these announcements could change! Please call the church voicemail 905-899-1373 to be assured the services are still happening.﻿ ﻿ God of Light and Love, We pray....... Our Mission To be a faithful growing church, that demonstrates true community, deep Christian spirituality and a passion for justice. Micah 6:8﻿﻿ ﻿ Our Vision To be and to share the Good News of Jesus Christ, witnessing, loving and serving from our doorsteps ""to the ends of the earth."" Acts 1:8 Winger's﻿ Mission ﻿﻿""To bring people to the Lord by actively promoting the living Gospel of the redeeming love of God through our Saviour Jesus Christ."" ﻿ ﻿ ﻿ ﻿ Copyright 2009 Winger Church of Christ (Disciples). All rights reserved. Web Hosting by Yahoo! 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca"
190459,20200814,wingerdisciples.org,http://wingerdisciples.org/,text/html,,,
203247,20200821,wingerdisciples.org,http://wingerdisciples.org/,text/html,application/xhtml+xml,en,"Winger Church of Christ (Disciples) - Welcome -  Celebrating 175 Years of Ministry Winger Church of Christ (Disciples) 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca Home About Us Affiliation Worship Times Choir Youth Special Events Bible Studies Camping Prayer Bears Welcome - Celebrating 175 Years of Ministry Welcome to Winger Church of Christ (Disciples) We want you to know that God loves you! Jesus died for you! He loves you more than you can fathom! See Special Events Tab for Garden Update! Due to Covid-19 we are endeavoring to follow Provincial guidlines for our services. We will be holding in person services at 10:30 am in the fellowship hall following a board approved protocol. Sunday August 16, 2020 10:30 am Worship Service - In the Church Hall - doors open at 10:15 am. Sunday August 23, 2020 10:30 am Worship Service - In the Church Hall - doors open at 10:15 am. Sunday August 30, 2020 10:30 am Worship Service - In Church Hall - doors open at 10:15 am. Please be aware that these announcements could change! Please call the church voicemail 905-899-1373 to be assured the services are still happening.﻿ ﻿ God of Light and Love, We pray....... Our Mission To be a faithful growing church, that demonstrates true community, deep Christian spirituality and a passion for justice. Micah 6:8﻿﻿ ﻿ Our Vision To be and to share the Good News of Jesus Christ, witnessing, loving and serving from our doorsteps ""to the ends of the earth."" Acts 1:8 Winger's﻿ Mission ﻿﻿""To bring people to the Lord by actively promoting the living Gospel of the redeeming love of God through our Saviour Jesus Christ."" ﻿ ﻿ ﻿ ﻿ Copyright 2009 Winger Church of Christ (Disciples). All rights reserved. Web Hosting by Yahoo! 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca"
215121,20200828,wingerdisciples.org,http://wingerdisciples.org/,text/html,application/xhtml+xml,en,"Winger Church of Christ (Disciples) - Welcome -  Celebrating 175 Years of Ministry Winger Church of Christ (Disciples) 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca Home About Us Affiliation Worship Times Choir Youth Special Events Bible Studies Camping Prayer Bears Welcome - Celebrating 175 Years of Ministry Welcome to Winger Church of Christ (Disciples) We want you to know that God loves you! Jesus died for you! He loves you more than you can fathom! ********** See Special Events Tab for Garden Update! ********** Due to Covid-19 we are endeavoring to follow Provincial guidlines for our services. We will be holding ""Sunday in person services"" at 10:30 am in the fellowship hall and will be following a board approved protocol. Please be aware that these announcements could change! Please call the church voicemail 905-899-1373 to be assured the services are still happening.﻿ ﻿ God of Light and Love, We pray....... Our Mission To be a faithful growing church, that demonstrates true community, deep Christian spirituality and a passion for justice. Micah 6:8﻿﻿ ﻿ Our Vision To be and to share the Good News of Jesus Christ, witnessing, loving and serving from our doorsteps ""to the ends of the earth."" Acts 1:8 Winger's﻿ Mission ﻿﻿""To bring people to the Lord by actively promoting the living Gospel of the redeeming love of God through our Saviour Jesus Christ."" ﻿ ﻿ ﻿ ﻿ Copyright 2009 Winger Church of Christ (Disciples). All rights reserved. Web Hosting by Yahoo! 43238 Hwy 3 P.O. 53 Wainfleet, ON L0S 1V0 ph: 905-899-1373 wingerdisciples@yahoo.ca"
227488,20200904,wingerdisciples.org,http://wingerdisciples.org/,text/html,,,
240225,20200911,wingerdisciples.org,http://wingerdisciples.org/,text/html,,,
251104,20200918,wingerdisciples.org,http://wingerdisciples.org/,text/html,,,
263612,20200925,wingerdisciples.org,http://wingerdisciples.org/,text/html,,,
