,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
4983,20200417,yourtv.tv,https://yourtv.tv/node/252226?c=niagara,text/html,text/html,en,"COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero  | YourTV Skip to main content Cogeco logo Residential Services Business Services About YourTV Contact Us Weather 0 Cable 10 / HD Cable 700 Niagara Toggle navigation Search Home Shows Videos Schedule Volunteers Partners Community Messages About YourTV Contact Us The Source COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero April 6, 2020 Share Mike speaks with Niagara On The Lake Lord Mayor Betty Desero. Back to Top YourTV About YourTV Contact us Volunteers Privacy policy Terms of use Follow Us Shop Residential services Business services Corporate Cogeco Connexion Careers Press releases and events Cogeco Communications (CCA) Cogeco Inc. (CGO) © Copyright 2020 YourTV, All Rights Reserved"
4986,20200417,yourtv.tv,https://yourtv.tv//node/252226?c=niagara,text/html,text/html,en,"COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero  | YourTV Skip to main content Cogeco logo Residential Services Business Services About YourTV Contact Us Weather 0 Cable 10 / HD Cable 700 Niagara Toggle navigation Search Home Shows Videos Schedule Volunteers Partners Community Messages About YourTV Contact Us The Source COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero April 6, 2020 Share Mike speaks with Niagara On The Lake Lord Mayor Betty Desero. Back to Top YourTV About YourTV Contact us Volunteers Privacy policy Terms of use Follow Us Shop Residential services Business services Corporate Cogeco Connexion Careers Press releases and events Cogeco Communications (CCA) Cogeco Inc. (CGO) © Copyright 2020 YourTV, All Rights Reserved"
4989,20200417,yourtv.tv,https://yourtv.tv/community-selection,text/html,text/html,en,"Choose your community | YourTV Skip to main content Choose your community Ontario Choose your community Belleville Brockville/Prescott Burlington/Oakville Chatham Cobourg/Port Hope Cornwall Fergus Kingston Milton/Halton Hills Muskoka Niagara North Bay Ottawa Valley Peterborough/Lindsay Sarnia Smiths Falls/Perth/North Grenville Windsor/Leamington Quebec Choisissez votre communauté Alma Baie-Comeau Drummondville Laurentides Magog Matane Mauricie Montmagny Rimouski Roberval Saint-Georges Saint-Hyacinthe Salaberry-de-Valleyfield Sept-Îles Thetford Mines © Copyright 2020 YourTV, All Rights Reserved"
11887,20200424,yourtv.tv,https://yourtv.tv/node/252226?c=niagara,text/html,text/html,en,"COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero  | YourTV Skip to main content Cogeco logo Residential Services Business Services About YourTV Contact Us Weather 7 Cable 10 / HD Cable 700 Niagara Toggle navigation Search Home Shows Videos Schedule Volunteers Partners Community Messages About YourTV Contact Us The Source COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero April 6, 2020 Share Mike speaks with Niagara On The Lake Lord Mayor Betty Desero. Back to Top YourTV About YourTV Contact us Volunteers Privacy policy Terms of use Follow Us Shop Residential services Business services Corporate Cogeco Connexion Careers Press releases and events Cogeco Communications (CCA) Cogeco Inc. (CGO) © Copyright 2020 YourTV, All Rights Reserved"
11891,20200424,yourtv.tv,https://yourtv.tv//node/252226?c=niagara,text/html,text/html,en,"COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero  | YourTV Skip to main content Cogeco logo Residential Services Business Services About YourTV Contact Us Weather 7 Cable 10 / HD Cable 700 Niagara Toggle navigation Search Home Shows Videos Schedule Volunteers Partners Community Messages About YourTV Contact Us The Source COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero April 6, 2020 Share Mike speaks with Niagara On The Lake Lord Mayor Betty Desero. Back to Top YourTV About YourTV Contact us Volunteers Privacy policy Terms of use Follow Us Shop Residential services Business services Corporate Cogeco Connexion Careers Press releases and events Cogeco Communications (CCA) Cogeco Inc. (CGO) © Copyright 2020 YourTV, All Rights Reserved"
11906,20200424,yourtv.tv,https://yourtv.tv/community-selection,text/html,text/html,en,"Choose your community | YourTV Skip to main content Choose your community Ontario Choose your community Belleville Brockville/Prescott Burlington/Oakville Chatham Cobourg/Port Hope Cornwall Fergus Kingston Milton/Halton Hills Muskoka Niagara North Bay Ottawa Valley Peterborough/Lindsay Sarnia Smiths Falls/Perth/North Grenville Windsor/Leamington Quebec Choisissez votre communauté Alma Baie-Comeau Drummondville Laurentides Magog Matane Mauricie Montmagny Rimouski Roberval Saint-Georges Saint-Hyacinthe Salaberry-de-Valleyfield Sept-Îles Thetford Mines © Copyright 2020 YourTV, All Rights Reserved"
16053,20200504,yourtv.tv,https://yourtv.tv/community-selection,text/html,text/html,en,"Choose your community | YourTV Skip to main content Choose your community Ontario Choose your community Belleville Brockville/Prescott Burlington/Oakville Chatham Cobourg/Port Hope Cornwall Fergus Kingston Milton/Halton Hills Muskoka Niagara North Bay Ottawa Valley Peterborough/Lindsay Sarnia Smiths Falls/Perth/North Grenville Windsor/Leamington Quebec Choisissez votre communauté Alma Baie-Comeau Drummondville Laurentides Magog Matane Mauricie Montmagny Rimouski Roberval Saint-Georges Saint-Hyacinthe Salaberry-de-Valleyfield Sept-Îles Thetford Mines © Copyright 2020 YourTV, All Rights Reserved"
16057,20200504,yourtv.tv,https://yourtv.tv/node/252226?c=niagara,text/html,text/html,en,"COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero  | YourTV Skip to main content Cogeco logo Residential Services Business Services About YourTV Contact Us Weather 6 Cable 10 / HD Cable 700 Niagara Toggle navigation Search Home Shows Videos Schedule Volunteers Partners Community Messages About YourTV Contact Us The Source COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero April 6, 2020 Share Mike speaks with Niagara On The Lake Lord Mayor Betty Desero. Back to Top YourTV About YourTV Contact us Volunteers Privacy policy Terms of use Follow Us Shop Residential services Business services Corporate Cogeco Connexion Careers Press releases and events Cogeco Communications (CCA) Cogeco Inc. (CGO) © Copyright 2020 YourTV, All Rights Reserved"
16058,20200504,yourtv.tv,https://yourtv.tv//node/252226?c=niagara,text/html,text/html,en,"COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero  | YourTV Skip to main content Cogeco logo Residential Services Business Services About YourTV Contact Us Weather 6 Cable 10 / HD Cable 700 Niagara Toggle navigation Search Home Shows Videos Schedule Volunteers Partners Community Messages About YourTV Contact Us The Source COVID-19 Niagara Update For April 6th: Niagara-On-The-Lake Lord Mayor Betty Desero April 6, 2020 Share Mike speaks with Niagara On The Lake Lord Mayor Betty Desero. Back to Top YourTV About YourTV Contact us Volunteers Privacy policy Terms of use Follow Us Shop Residential services Business services Corporate Cogeco Connexion Careers Press releases and events Cogeco Communications (CCA) Cogeco Inc. (CGO) © Copyright 2020 YourTV, All Rights Reserved"
20792,20200516,yourtv.tv,https://yourtv.tv/community-selection,text/html,text/html,en,"Choose your community | YourTV Skip to main content Choose your community Ontario Choose your community Belleville Brockville/Prescott Burlington/Oakville Chatham Cobourg/Port Hope Cornwall Fergus Kingston Milton/Halton Hills Muskoka Niagara North Bay Ottawa Valley Peterborough/Lindsay Sarnia Smiths Falls/Perth/North Grenville Windsor/Leamington Quebec Choisissez votre communauté Alma Baie-Comeau Drummondville Laurentides Magog Matane Mauricie Montmagny Rimouski Roberval Saint-Georges Saint-Hyacinthe Salaberry-de-Valleyfield Sept-Îles Thetford Mines © Copyright 2020 YourTV, All Rights Reserved"
