,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
627114,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/IwRdSqbj4CQstrOn,text/html,text/html,en,Principal's Newsletter February 2020  - Yumpu.com View more magazines
627116,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/RLlSxjitfmv5WkwK,text/html,text/html,en,Principal's Newsletter - November 2019 - Yumpu.com NCC85 View more magazines
627117,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/M0xZQK3Ep5WJUvPG,text/html,text/html,en,Principal's Newsletter June 2019 - Yumpu.com NCC85 View more magazines
627118,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/0ut8CNnvQ7ecxJL4,text/html,text/html,en,"Principal's Newsletter, April 2019  - Yumpu.com NCC85 View more magazines"
627119,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/arGvDEph8N5QwHK0,text/html,text/html,en,Principal's Newsletter February 2019 - Yumpu.com NCC85 View more magazines
627120,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/J6cNAupj8SDge3z9,text/html,text/html,en,Principal's Newsletter November 2018 - Yumpu.com NCC85 View more magazines
627122,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/1cMHujnga4z7CyqQ,text/html,text/html,en,Principal Newsletter June 2018 - Yumpu.com NCC85 View more magazines
627123,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/3FQjgnxBbuJmZeTd,text/html,text/html,en,Principal's Newsletter April 2018 - Yumpu.com NCC85 View more magazines
627125,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/0lWCQhtJL48Ijfy9,text/html,text/html,en,Principal's Newsletter February 2018 - Yumpu.com NCC85 View more magazines
627126,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/qnzIwsGj7udAbhv4,text/html,text/html,en,Y-Principal's NL November 2017-18 - Yumpu.com NCC85 View more magazines
627127,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/sSN0PwFEzXjIoQHg,text/html,text/html,en,2. Principal's NL Sept 2017-18 - Yumpu.com NCC85 View more magazines
627129,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/Su1iIpLweA3jJcsn,text/html,text/html,en,The Navigator November 2019 - Yumpu.com View more magazines
627130,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/yJP9jE7UYxGBVsuX,text/html,text/html,en,The Navigator September 2019 - Yumpu.com The Navigator September 2019 NCC85 View more magazines
627131,20210528,yumpu.com,https://www.yumpu.com/en/embed/view/uloWprLdXHTYJe7f,text/html,text/html,en,"Chapel March 30, 2020 - Yumpu.com View more magazines"
627146,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/l6i34aNfSP7pTQMg,text/html,text/html,en,"Dr. Wendy Willmore Update, February 28, 2020 - Yumpu.com View more magazines"
627149,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/3QaMk5YjRti26eGb,text/html,text/html,en,Collegian Winter 2020 - Yumpu.com View more magazines
627151,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/9jaAqFbJkY4sgui0,text/html,text/html,en,Collegian Summer 2019 - Yumpu.com NCC85 View more magazines
627152,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/yfWKiAB8FEZcx3NI,text/html,text/html,en,Collegian Winter 2019 - Yumpu.com NCC85 View more magazines
627154,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/QNLTqOahCsBxcpnD,text/html,text/html,en,Collegian Summer 2018 - Yumpu.com NCC85 View more magazines
627155,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/hGobZDFg0EAneKu1,text/html,text/html,en,Collegian Winter 2018 - Yumpu.com NCC85 View more magazines
627157,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/coqv7Ci6BgzQb5Sj,text/html,text/html,en,Collegian Summer 2017 - Yumpu.com ncc55ncc View more magazines
627159,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/6qx3mlyXuv89B5kW,text/html,text/html,it,Collegian Winter 2016-17  - Yumpu.com ncc55ncc View more magazines
627160,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/y6r20bzfeQWTxHaP,text/html,text/html,en,Collegian Winter 2016 - Yumpu.com ncc55ncc View more magazines
627161,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/CH5iqeTd87RvUIoj,text/html,text/html,en,Collegian Summer 2016 - Yumpu.com ncc55ncc View more magazines
627162,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/BTIthVlZyjzGsaf6,text/html,text/html,en,Collegian Summer 2015 - Yumpu.com ncc55ncc View more magazines
627164,20210529,yumpu.com,https://www.yumpu.com/en/embed/view/qFp8xtRXQOWlMiz6,text/html,text/html,it,Collegian April 2015 - Yumpu.com ncc55ncc View more magazines
